117	MA2-RPYCAM1-MIN-A-P1	P - 035	Printer	MA2-RPYCAM1-MIN-A	1	0
118	MA2-RPYCAM1-MIN-B	Rocker Shaft 1-4 Machining In	Terminal	MA2-RPYCAM1	2	0
119	MA2-RPYCAM1-MIN-B-P1	P - 036	Printer	MA2-RPYCAM1-MIN-B	1	0
120	MA2-RPYCAM1-MOUT-A	Rocker Shaft 5 Machining In - out	Terminal	MA2-RPYCAM1	3	0
121	MA2-RPYCAM1-MOUT-A-P1	P - 037	Printer	MA2-RPYCAM1-MOUT-A	1	0
122	MA2-RPYCAM1-MOUT-B	Rocker Shaft 1-4 Machining Out	Terminal	MA2-RPYCAM1	4	0
123	MA2-RPYCAM1-MOUT-B-P1	P - 038	Printer	MA2-RPYCAM1-MOUT-B	1	0
124	MA2-RPYCAM1-AIN	Cam Holder Machining Out	Terminal	MA2-RPYCAM1	5	0
125	MA2-RPYCAM1-AIN-P1	P - 039	Printer	MA2-RPYCAM1-AIN	1	0
126	MA2-RPYCAM1-AOUT1	Assembly In	Terminal	MA2-RPYCAM1	6	0
127	MA2-RPYCAM1-AOUT1-P1	P - 040	Printer	MA2-RPYCAM1-AOUT1	1	0
128	MA2-RPYCAM1-AOUT2	Assembly Out	Terminal	MA2-RPYCAM1	7	0
129	MA2-RPYCAM1-AOUT2-P1	P - 041	Printer	MA2-RPYCAM1-AOUT2	1	0
130	MA2-RPYCAM1-AOUT3	Assembly Out 3	Terminal	MA2-RPYCAM1	8	1
131	MA2-RPYCAM1-AOUT3-P1	P - 042	Printer	MA2-RPYCAM1-AOUT3	1	1
132	MA2-5PA	5PA Fuel Pump	ProductionLine	MA2	13	0
133	MA2-5PA-MIN1	Machining In	Terminal	MA2-5PA	1	0
134	MA2-5PA-MIN1-P1	P - 043	Printer	MA2-5PA-MIN1	1	0
135	MA2-5PA-MIN2	Machining Out	Terminal	MA2-5PA	2	0
136	MA2-5PA-MIN2-P1	P - 044	Printer	MA2-5PA-MIN2	1	0
137	MA2-5PA-MIN3	Assembly  In	Terminal	MA2-5PA	3	0
138	MA2-5PA-MIN3-P1	P - 045	Printer	MA2-5PA-MIN3	1	0
139	MA2-6MAOP	6ma oil pan	ProductionLine	MA2	1	0
140	MA2-6MAOP-MIN	Machining In	Terminal	MA2-6MAOP	1	0
141	MA2-6MAOP-MIN-P1	P - 046	Printer	MA2-6MAOP-MIN	1	0
142	MA2-6MAOP-AOUT	Assembly Out	Terminal	MA2-6MAOP	2	0
143	MA2-6MAOP-AOUT-P1	P - 047	Printer	MA2-6MAOP-AOUT	1	0
144	MA2-V6OP	v6 Oil Pan	ProductionLine	MA2	6	0
145	MA2-V6OP-MIN	Machining In	Terminal	MA2-V6OP	1	0
146	MA2-V6OP-MIN-P1	P - 048	Printer	MA2-V6OP-MIN	1	0
147	MA2-V6OP-AOUT	Assembly Out	Terminal	MA2-V6OP	2	0
148	MA2-V6OP-AOUT-P1	P - 049	Printer	MA2-V6OP-AOUT	1	0
149	MA2-COS	Case Oil Seal	ProductionLine	MA2	4	0
150	MA2-COS-MOUT	Assembly Out	Terminal	MA2-COS	1	0
151	MA2-COS-MOUT-P1	P - 050	Printer	MA2-COS-MOUT	1	0
152	MA2-6F9TC	6F9-TC	ProductionLine	MA2	6	0
153	MA2-6F9TC-MOUT	Assembly Out	Terminal	MA2-6F9TC	1	0
154	MA2-6F9TC-MOUT-P1	P - 051	Printer	MA2-6F9TC-MOUT	1	0
