AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0056,DieMold,C,Current,"6B2 R/S #5 die ""E""",6B2,RockerShaft,E,Honda,1,629-090,629-090 6B2 HOLDER COMP NO5 R/S (DC),168332,155697,150000,YES,,Accu-Die,2021-03-08,asset+report,
DM0057,DieMold,C,Current,"RPY R/S #1 die ""H""",RPY,RockerShaft,H,Honda,1,135-090,135-090 RPY Holder Comp No 1 Rkr Shaft,244419,237290,175000,YES,,Davis Tool,2021-02-08,asset+report,
DM0058,DieMold,C,Current,"RPY R/S #2,3,4 die ""H""",RPY,RockerShaft,H,Honda,3,"136-090,137-090,138-090",136-090 RPY Holder Comp No 2 Rkr Shaft; 137-090 RPY Holder Comp No 3 Rkr Shaft; 138-090 RPY Holder Comp No 4 Rkr Shaft,342175,332069,175000,YES,,Davis Tool,2021-02-08,asset+report,
DM0059,DieMold,C,Current,"59B C/H #1,5 die ""K""",59B,CamHolder,K,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,389349,379874,150000,YES,,Accu-Die,2021-03-08,asset+report,
DM0060,DieMold,C,Current,"59B C/H #2,3,4 die ""K""",59B,CamHolder,K,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,369908,360334,150000,YES,,Accu-Die,2021-03-08,asset+report,
DM0061,DieMold,W,Waiting for Approval,"5BA Side Cover die ""I""",5BA,SideCover,I,Honda,1,154-090,154-090 5BA Side Cover,113322,107702,0,YES,,Metts,2021-06-15,asset+report,
DM0062,DieMold,W,Waiting for Approval,"64A Oil Pan die ""C""",64A,OilPan,C,Honda,1,648-090,648-090 64A Oil Pan,216911,202868,175000,YES,,Davis Tool,2021-06-15,asset+report,
DM0063,DieMold,C,Current,"6NA Fuel Pump die ""A""",6NA,FuelPump,A,Honda Anna Eng Plnt,1,637-090,637-090 6NA FUEL PUMP,163037,155860,100000,YES,,Davis Tool,2021-06-15,asset+report,
DM0064,DieMold,W,Waiting for Approval,"5GO R/S #1,2,3 die ""K""",5GO,RockerShaft,K,Honda Anna Eng Plnt,3,"578-090,579-090,580-090",578-090 5GO R/S #1    DC; 579-090 5GO R/S #2    DC; 580-090 5GO R/S #3    DC,216672,201627,0,YES,,Accu-Die,2021-07-16,asset+report,
DM0065,DieMold,,Not in shots report,"5PA Oil Pan die ""L""",5PA,OilPan,L,,,,,,,,,,Davis Tool,2021-07-16,asset only,"no matching die in the shots report (retired, or naming mismatch)"
