AssetTag,ToolKind,Status,StatusName,Description,Family,Component,DieGeneration,Customer,CavityCount,MacolaParts,Cavities,TotalShots,GoodShots,ShotLifePlanned,OverPlannedLife,Restated,Vendor,Acquired,Source,Note
DM0092,DieMold,,Not in shots report,59B/5PA Fuel Pump W,59B/5PA,FuelPump,W,,,,,,,,,,Davis Tool,2023-01-25,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0093,DieMold,W,Waiting for Approval,6Na fuel pump B,6NA,FuelPump,B,Honda Anna Eng Plnt,1,637-090,637-090 6NA FUEL PUMP,165489,155272,0,YES,,Davis Tool,2023-01-25,asset+report,
DM0094,DieMold,W,Waiting for Approval,5BA rocker shaft #L,5BA,RockerShaft,L,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,171864,166218,0,YES,,Accu-Die,2023-04-20,asset+report,
DM0095,DieMold,W,Waiting for Approval,5J6-1 Oil Pan die L,5J6,OilPan,L,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,239130,220181,0,YES,5J6-1 L die,Mangas Tool,2023-04-03,asset+report,
DM0096,DieMold,W,Waiting for Approval,6VJ Fuel Pump A,6VJ,FuelPump,A,Honda,1,638-090,638-090 6VJ Fuel Pump,200790,190464,0,YES,,Davis Tool,2023-05-09,asset+report,
DM0097,DieMold,W,Waiting for Approval,5J6-1 Oil Pan die L,5J6,OilPan,L,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,239130,220181,0,YES,5J6-1 L die,Meiwa Mold,2023-07-26,asset+report,
DM0098,DieMold,W,Waiting for Approval,5Ba #5 R/S M,5BA,RockerShaft,M,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,192332,186005,0,YES,,Accu-Die,2023-08-31,asset+report,
DM0099,DieMold,W,Waiting for Approval,6B2 Rocker Shaft #5 die F,6B2,RockerShaft,F,Honda,1,629-090,629-090 6B2 HOLDER COMP NO5 R/S (DC),112977,104705,0,YES,6Ba #5 R/S F,Accu-Die,2023-08-31,asset+report,
DM0100,DieMold,W,Waiting for Approval,RPY Cam Holder IN.1-4 G,RPY,CamHolder,G,Honda,4,"120-090,121-090,122-090,123-090",120-090 RPY Holder Comp No 1 In Cam; 121-090 RPY Holder Comp No 2 In Cam; 122-090 RPY Holder Comp No 3 In Cam; 123-090 RPY Holder Comp No 4 In Cam,179557,168938,0,YES,,Accu-Die,2023-11-17,asset+report,
DM0101,DieMold,W,Waiting for Approval,"RPY Cam holder 5,5,6 G",RPY,CamHolder,G,Honda,3,"124-090,129-090,130-090",124-090 RPY Holder Comp No 5 in Cam; 129-090 RPY Holder Comp No 5 Ex Cam; 130-090 RPY Holder Comp No 6 Ex Cam,160220,147302,0,YES,,Accu-Die,2023-11-17,asset+report,
DM0102,DieMold,W,Waiting for Approval,6MA Oil Pan D,6MA,OilPan,D,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),357460,323362,0,YES,,Hellebusch,2023-11-21,asset+report,
DM0103,DieMold,W,Waiting for Approval,6MA Oil pan E,6MA,OilPan,E,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),200268,184652,0,YES,,Hellebusch,2023-11-21,asset+report,
DM0104,DieMold,W,Waiting for Approval,64A oil Pan F,64A,OilPan,F,Honda,1,648-090,648-090 64A Oil Pan,262752,244116,0,YES,,Davis Tool,2023-12-08,asset+report,
DM0105,DieMold,W,Waiting for Approval,6Na fuel pump C,6NA,FuelPump,C,Honda Anna Eng Plnt,1,637-090,637-090 6NA FUEL PUMP,136029,128493,0,YES,,Davis Tool,2023-12-08,asset+report,
DM0106,DieMold,W,Waiting for Approval,59B/5PA Fuel Pump die V,59B/5PA,FuelPump,V,Honda,2,"143-090,152-090",143-090 5PA Fuel Pump; 152-090 59B Base Comp Fuel Pump,89420,84873,0,YES,59b/5pa V fuel pump,Davis Tool,2024-06-03,asset+report,combo die - 2 report entries summed
DM0107,DieMold,W,Waiting for Approval,59B Cam holder In 1/5 Ex 1/5 M,59B,CamHolder,M,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,124409,117744,0,YES,,Accu-Die,2024-01-16,asset+report,
DM0108,DieMold,W,Waiting for Approval,"59B Cam Holder #2,3,4 die M",59B,CamHolder,M,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,92236,87891,0,YES,"2,3,4 M",Accu-Die,2024-01-16,asset+report,
DM0109,DieMold,W,Waiting for Approval,"6MA Cam Holder 1,5, C",6MA,CamHolder,C,Honda Anna Eng Plnt,4,"652-090,656-090,657-090,661-090",652-090 6MAA HOLDCOMP NO1 INTAKE (DC); 656-090 6MAA HOLDCOMP NO5 INTAKE (DC); 657-090 6MAA HOLDCOMP NO1 EXHAUST (DC); 661-090 6MAA HOLDCOMP NO5 EXHAUST (DC),226673,216975,0,YES,,Accu-Die,2024-02-13,asset+report,
DM0110,DieMold,W,Waiting for Approval,"6MA Cam Holder 2,3,4 C",6MA,CamHolder,C,Honda Anna Eng Plnt,6,"653-090,654-090,655-090,658-090,659-090,660-090",653-090 6MAA HOLDCOMP NO2 INTAKE (DC); 654-090 6MAA HOLDCOMP NO3 INTAKE (DC); 655-090 6MAA HOLDCOMP NO4 INTAKE (DC); 658-090 6MAA HOLDCOMP NO2 EXHAUST (DC); 659-090 6MAA HOLDCOMP NO3 EXHAUST (DC); 660-090 6MAA HOLDCOMP NO4 EXHAUST (DC),276461,267692,0,YES,,Accu-Die,2024-02-13,asset+report,
DM0111,DieMold,W,Waiting for Approval,RPY rocker shaft #1  J,RPY,RockerShaft,J,Honda,1,135-090,135-090 RPY Holder Comp No 1 Rkr Shaft,143576,137274,0,YES,,Accu-Die,2024-02-21,asset+report,
DM0112,DieMold,W,Waiting for Approval,"RPY Rocker shaft 2,3,4 J",RPY,RockerShaft,J,Honda,3,"136-090,137-090,138-090",136-090 RPY Holder Comp No 2 Rkr Shaft; 137-090 RPY Holder Comp No 3 Rkr Shaft; 138-090 RPY Holder Comp No 4 Rkr Shaft,159358,152488,0,YES,,Accu-Die,2024-02-21,asset+report,
DM0113,DieMold,W,Waiting for Approval,"RPY Cam Holder Ex Lower 1,2,3,4 die H",RPY,CamHolder,H,Honda,4,"131-090,132-090,133-090,134-090",131-090 RPY Holder Comp No 1 Exh Cam Lwr; 132-090 RPY Holder Comp No 2 Exh Cam Lwr; 133-090 RPY Holder Comp No 3 Exh Cam Lwr; 134-090 RPY Holder Comp No 4 Exh Cam Lwr,96601,89056,0,YES,"RPY Lower EX. 1,2,3,4  H",Accu-Die,2024-02-22,asset+report,
DM0114,DieMold,W,Waiting for Approval,"RPY Cam Holder Ex 1,2,3,4 die H",RPY,CamHolder,H,Honda,4,"125-090,126-090,127-090,128-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam,75146,71020,0,YES,"RPY Ex. 1,2,3,4   H",Accu-Die,2024-01-22,asset+report,
DM0115,DieMold,W,Waiting for Approval,Astemo Inner Housing die A,,InnerHousing,A,Astemo,1,683-090,683-090 Inner Housing,19844,17493,0,YES,Inner Housing,Metts,2024-04-26,asset+report,
DM0116,DieMold,W,Waiting for Approval,Astemo Inverter Cover Single die A,,InverterCover,A,Astemo,1,681-090,681-090 Cover Inverter Single,5051,4607,0,YES,Single Inverter Cover A die,Metts,2024-04-26,asset+report,
DM0117,DieMold,W,Waiting for Approval,Astemo Intermediate Case Single die A,,IntermediateCase,A,Astemo,1,679-090,679-090 CASE COMP INTERMEDIATE SINGLE,10070,8864,0,YES,Single intermeiate Case A,Metts,2024-04-26,asset+report,
DM0118,DieMold,W,Waiting for Approval,5J6-1 Oil Pan die M,5J6,OilPan,M,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,91763,85106,0,YES,5J6-1  M,Meiwa Mold,2024-06-18,asset+report,
DM0119,DieMold,W,Waiting for Approval,6FB oil Pan C,6FB,OilPan,C,Honda,1,646-090,646-090 6FB Oil Pan,303716,282063,0,YES,,Hanson Int.,2024-07-29,asset+report,
DM0120,DieMold,W,Waiting for Approval,6FB oil Pan Cover Insert #2 C Die,6FB,OilPan,C,Honda,1,646-090,646-090 6FB Oil Pan,303716,282063,0,YES,,Hanson Int.,2024-08-15,asset+report,
DM0121,DieMold,W,Waiting for Approval,6MDW Intake Manifold Plate Die B,6MD,IntakeManifold,B,Honda Anna Eng Plnt,1,674-090,674-090 6MD Intake Manifold,1221,716,0,YES,,Meiwa Mold,2024-09-02,asset+report,
DM0122,DieMold,W,Waiting for Approval,5Ba Rocker Shaft #5 N,5BA,RockerShaft,N,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,131329,125543,0,YES,,Accu-Die,2024-09-27,asset+report,
DM0123,DieMold,W,Waiting for Approval,6FB Cam Holder #1 B,6FB,CamHolder,B,Honda Anna Eng Plnt,1,644-090,"644-090 6FB Holder Comp, No 1 Cam R",80103,75963,0,YES,,Accu-Die,2024-10-24,asset+report,
DM0124,DieMold,W,Waiting for Approval,"6MA Cam Holder #1,5 die D",6MA,CamHolder,D,Honda Anna Eng Plnt,4,"652-090,656-090,657-090,661-090",652-090 6MAA HOLDCOMP NO1 INTAKE (DC); 656-090 6MAA HOLDCOMP NO5 INTAKE (DC); 657-090 6MAA HOLDCOMP NO1 EXHAUST (DC); 661-090 6MAA HOLDCOMP NO5 EXHAUST (DC),148392,140917,0,YES,6MA cam holder  D  1/5,Accu-Die,2024-12-06,asset+report,
DM0125,DieMold,W,Waiting for Approval,"6MA Cam Holder #2,3,4 die D",6MA,CamHolder,D,Honda Anna Eng Plnt,6,"653-090,654-090,655-090,658-090,659-090,660-090",653-090 6MAA HOLDCOMP NO2 INTAKE (DC); 654-090 6MAA HOLDCOMP NO3 INTAKE (DC); 655-090 6MAA HOLDCOMP NO4 INTAKE (DC); 658-090 6MAA HOLDCOMP NO2 EXHAUST (DC); 659-090 6MAA HOLDCOMP NO3 EXHAUST (DC); 660-090 6MAA HOLDCOMP NO4 EXHAUST (DC),216980,208629,0,YES,"6MA Cam Holder D 2,3,4",Accu-Die,2024-12-06,asset+report,
DM0126,DieMold,W,Waiting for Approval,6MA Oil Pan die E,6MA,OilPan,E,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),200268,184652,0,YES,6Ma E Oil Pan,Hanson Int.,2025-01-23,asset+report,
DM0127,DieMold,W,Waiting for Approval,6VJ Fuel Pump B,6VJ,FuelPump,B,Honda,1,638-090,638-090 6VJ Fuel Pump,145846,139218,0,YES,,Davis Tool,2025-01-29,asset+report,
DM0128,DieMold,W,Waiting for Approval,6VJ Fuel Pump C,6VJ,FuelPump,C,Honda,1,638-090,638-090 6VJ Fuel Pump,92617,87425,0,YES,,Davis Tool,2025-01-29,asset+report,
DM0129,DieMold,W,Waiting for Approval,"59B cam Hilder 1,5, N",59B,CamHolder,N,Honda Anna Eng Plnt,4,"187-090,191-090,192-090,196-090",187-090 59B In Cam No 1 MPP; 191-090 59B In Cam No 5 MPP; 192-090 59B In Cam Ex 1 MPP; 196-090 59B In Cam Ex 5 MPP,66042,62907,0,YES,,Accu-Die,2025-02-11,asset+report,
DM0130,DieMold,W,Waiting for Approval,"59B Cam Holder #2,3,4 die N",59B,CamHolder,N,Honda Anna Eng Plnt,6,"188-090,189-090,190-090,193-090,194-090,195-090",188-090 59B In Cam No 2 MPP; 189-090 59B In Cam No 3 MPP; 190-090 59B In Cam No 4 MPP; 193-090 59B In Cam Ex 2 MPP; 194-090 59B In Cam Ex 3 MPP; 195-090 59B In Cam Ex 4 MPP,87795,83458,0,YES,"59B 2,3,4 N",Accu-Die,2025-02-11,asset+report,
DM0131,DieMold,W,Waiting for Approval,5J6-1 Oil Pan die N,5J6,OilPan,N,Honda Alabama,1,155-090,155-090 5J6-1 OIL PAN     DC,54874,49996,0,YES,5J6-! N,Meiwa Mold,2025-02-21,asset+report,
DM0132,DieMold,W,Waiting for Approval,64A Oil Pan die G,64A,OilPan,G,Honda,1,648-090,648-090 64A Oil Pan,131533,119576,0,YES,64A G,Meiwa Mold,2025-02-24,asset+report,
DM0133,DieMold,,Not in shots report,Astemo Intermediate Case Single die B,,IntermediateCase,B,,,,,,,,,Hitachi Case Single Die B,Metts,2025-03-11,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0134,DieMold,,Not in shots report,Astemo Inverter Cover Single die B,,InverterCover,B,,,,,,,,,Hitachi Cover Single Die B,Metts,2025-03-11,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0135,DieMold,,Not in shots report,Astemo Inner Housing die B,,InnerHousing,B,,,,,,,,,Hitachi Inner Housing Die B,Metts,2025-03-11,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0136,DieMold,W,Waiting for Approval,6MA Oil Pan G,6MA,OilPan,G,Honda Anna Eng Plnt,1,664-090,664-090 6MA Oil Pan (69F Finished),249,140,0,YES,,Hanson Int.,2025-03-14,asset+report,
DM0137,DieMold,W,Waiting for Approval,Astemo Inverter Cover Dual die A,,InverterCover,A,Astemo,1,682-090,682-090 Cover Inverter Dual,1962,1598,0,YES,Hitachi Inverter Cover Dual Die A,Metts,2025-03-21,asset+report,
DM0138,DieMold,W,Waiting for Approval,Astemo Intermediate Case Dual die A,,IntermediateCase,A,Astemo,1,680-090,680-090 Case comp Intermediate Dual,1633,1270,0,YES,Hitachi Intermediate Case Dual Die A,Metts,2025-03-21,asset+report,
DM0139,DieMold,,Not in shots report,RPY Rocker Shaft #5 die A,RPY,RockerShaft,A,,,,,,,,,RPY #5 Rocker Shaft,Metts,2025-05-13,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0140,DieMold,W,Waiting for Approval,66VT Fuel Pump Die A,66V,FuelPump,A,Honda Anna Eng Plnt,1,686-090,686-090 66V Fuel Pump,7297,6777,0,YES,,Metts,2025-05-13,asset+report,
DM0141,DieMold,W,Waiting for Approval,RPY Rocker Shaft #1 die K,RPY,RockerShaft,K,Honda,1,135-090,135-090 RPY Holder Comp No 1 Rkr Shaft,48221,44973,0,YES,RPY #1 K,Davis Tool,2025-06-10,asset+report,
DM0142,DieMold,W,Waiting for Approval,"RPY Rocker Shaft #2,3,4 die K",RPY,RockerShaft,K,Honda,3,"136-090,137-090,138-090",136-090 RPY Holder Comp No 2 Rkr Shaft; 137-090 RPY Holder Comp No 3 Rkr Shaft; 138-090 RPY Holder Comp No 4 Rkr Shaft,13427,12592,0,YES,"RPY #2,3,4  K",Davis Tool,2025-06-10,asset+report,
DM0143,DieMold,W,Waiting for Approval,5BA Rocker Shaft #5 die O,5BA,RockerShaft,O,Honda,1,140-090,140-090 5BAA Holder Comp #5 R/S,88785,84021,0,YES,5Ba 5  O,Accu-Die,2025-06-11,asset+report,
DM0144,DieMold,W,Waiting for Approval,6FB oil pan D,6FB,OilPan,D,Honda,1,646-090,646-090 6FB Oil Pan,26496,24688,0,YES,,Hanson Int.,2025-06-16,asset+report,
DM0145,DieMold,W,Waiting for Approval,64A oil pan H,64A,OilPan,H,Honda,1,648-090,648-090 64A Oil Pan,248,168,0,YES,,Meiwa Mold,2025-07-16,asset+report,
DM0146,DieMold,W,Waiting for Approval,6FB Cam Holder #1 die C,6FB,CamHolder,C,Honda Anna Eng Plnt,1,644-090,"644-090 6FB Holder Comp, No 1 Cam R",22555,21112,0,YES,6FB C Cam Holder #1,Accu-Die,2025-08-04,asset+report,
DM0147,DieMold,W,Waiting for Approval,"6MA Cam Holder #1,5 die F",6MA,CamHolder,F,Honda Anna Eng Plnt,4,"652-090,656-090,657-090,661-090",652-090 6MAA HOLDCOMP NO1 INTAKE (DC); 656-090 6MAA HOLDCOMP NO5 INTAKE (DC); 657-090 6MAA HOLDCOMP NO1 EXHAUST (DC); 661-090 6MAA HOLDCOMP NO5 EXHAUST (DC),110,78,0,YES,6MA Cam Holder F 1/5,Accu-Die,2025-09-22,asset+report,
DM0148,DieMold,W,Waiting for Approval,"6Ma cam Holder in/Ex 1,2,3,4 F",6MA,CamHolder,F,Honda Anna Eng Plnt,6,"653-090,654-090,655-090,658-090,659-090,660-090",653-090 6MAA HOLDCOMP NO2 INTAKE (DC); 654-090 6MAA HOLDCOMP NO3 INTAKE (DC); 655-090 6MAA HOLDCOMP NO4 INTAKE (DC); 658-090 6MAA HOLDCOMP NO2 EXHAUST (DC); 659-090 6MAA HOLDCOMP NO3 EXHAUST (DC); 660-090 6MAA HOLDCOMP NO4 EXHAUST (DC),100,78,0,YES,,Accu-Die,2025-09-22,asset+report,
DM0149,DieMold,W,Waiting for Approval,"6FBA oil pan die ""E""",6FB,OilPan,E,Honda,1,646-090,646-090 6FB Oil Pan,116,66,0,YES,,Hanson Int.,2026-01-20,asset+report,
DM0150,DieMold,W,Waiting for Approval,"6NA Fuel Pump die ""D""",6NA,FuelPump,D,Honda Anna Eng Plnt,1,637-090,637-090 6NA FUEL PUMP,80,53,0,YES,,Davis Tool,2026-01-20,asset+report,
DM0151,DieMold,W,Waiting for Approval,"6VJ Fuel Pump die ""D""",6VJ,FuelPump,D,Honda,1,638-090,638-090 6VJ Fuel Pump,11257,10664,0,YES,,Davis Tool,2026-01-20,asset+report,
DM0152,DieMold,W,Waiting for Approval,RPY Comp Bracket G,RPY,CompressorBracket,G,Honda,1,643-090,643-090 RPY COMPRESSOR BRACKET MPP,180,123,0,YES,,Accu-Die,2026-01-20,asset+report,
DM0153,DieMold,W,Waiting for Approval,"5GO R/S 1,2,3 Die ""M""",5GO,RockerShaft,M,Honda Anna Eng Plnt,3,"578-090,579-090,580-090",578-090 5GO R/S #1    DC; 579-090 5GO R/S #2    DC; 580-090 5GO R/S #3    DC,110,79,0,YES,,Accu-Die,2026-01-20,asset+report,
DM0154,DieMold,,Not in shots report,5BA Rocker Shaft # 5,5BA,RockerShaft,,,,,,,,,,,Accu-Die,2026-02-11,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0155,DieMold,,Not in shots report,64A Oil Pan die I,64A,OilPan,I,,,,,,,,,64A Oil Pan,Meiwa Mold,2026-02-11,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0156,DieMold,,Not in shots report,6VJ Fuel Pump die E,6VJ,FuelPump,E,,,,,,,,,6VJ Fuel PumpE,Davis Tool,2026-05-04,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0157,DieMold,W,Waiting for Approval,"RPY CamHolder 5,5,6 H",RPY,CamHolder,H,Honda,8,"125-090,126-090,127-090,128-090,131-090,132-090,133-090,134-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam; 131-090 RPY Holder Comp No 1 Exh Cam Lwr; 132-090 RPY Holder Comp No 2 Exh Cam Lwr; 133-090 RPY Holder Comp No 3 Exh Cam Lwr; 134-090 RPY Holder Comp No 4 Exh Cam Lwr,171747,160076,0,YES,,Accu-Die,2026-05-04,asset+report,AMBIGUOUS - could not tell which die of the set; 2 entries merged
DM0158,DieMold,W,Waiting for Approval,RPY Cam Holder Intake H,RPY,CamHolder,H,Honda,8,"125-090,126-090,127-090,128-090,131-090,132-090,133-090,134-090",125-090 RPY Holder Comp No 1 Ex Cam; 126-090 RPY Holder Comp No 2 Ex Cam; 127-090 RPY Holder Comp No 3 Ex Cam; 128-090 RPY Holder Comp No 4 Ex Cam; 131-090 RPY Holder Comp No 1 Exh Cam Lwr; 132-090 RPY Holder Comp No 2 Exh Cam Lwr; 133-090 RPY Holder Comp No 3 Exh Cam Lwr; 134-090 RPY Holder Comp No 4 Exh Cam Lwr,171747,160076,0,YES,,Accu-Die,2026-05-04,asset+report,AMBIGUOUS - could not tell which die of the set; 2 entries merged
DM0159,DieMold,,Not in shots report,"59B Cam Holder 1,5 O",59B,CamHolder,O,,,,,,,,,,Accu-Die,2026-05-13,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0160,DieMold,,Not in shots report,"59B Cam Holder #1,2,3,4 die O",59B,CamHolder,O,,,,,,,,,"59B Cam Holder  1,2,3,4",Accu-Die,2026-05-13,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0161,DieMold,,Not in shots report,6FB Oil Pan F,6FB,OilPan,F,,,,,,,,,,Hanson Int.,2026-05-20,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0162,DieMold,,Not in shots report,6GF Oil Pan G,6GF,OilPan,G,,,,,,,,,,Hanson Int.,2026-05-20,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0163,DieMold,,Not in shots report,6VJ Fuel Pump ejector insert,6VJ,FuelPump,,,,,,,,,,6VJ Insert  Ejector,Davis Tool,2026-05-20,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0164,DieMold,,Not in shots report,5J6-1 Oil Pan die O,5J6,OilPan,O,,,,,,,,,5J6-1 O,Meiwa Mold,2026-07-15,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0165,DieMold,,Not in shots report,6FB Oil Passage B,6FB,OilPassage,B,,,,,,,,,,Accu-Die,2026-07-16,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0166,DieMold,,Not in shots report,"6MA Cam Holder #1,5 die G",6MA,CamHolder,G,,,,,,,,,6mA Cam Holder g 1/5,Accu-Die,2026-08-20,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0167,DieMold,,Not in shots report,"6MA CaM Holder 2,3,4 G",6MA,CamHolder,G,,,,,,,,,,Accu-Die,2026-08-20,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0168,DieMold,,Not in shots report,4DOA Oil Pan die A,4DOA,OilPan,A,,,,,,,,,4DOA Oil PanA,Meiwa Mold,2026-08-06,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0169,DieMold,,Not in shots report,6MDW Intake Manifold die C,6MD,IntakeManifold,C,,,,,,,,,6MDW C die,Metts,2026-08-12,asset only,"no matching die in the shots report (retired, or naming mismatch)"
DM0170,DieMold,,Not in shots report,5GO Rocker Shaft die N (4 cavity),5GO,RockerShaft,N,,,,,,,,,5GO N die 4 cavity,Accu-Die,2026-08-17,asset only,"no matching die in the shots report (retired, or naming mismatch)"
TD0001,TrimDie,,Not in shots report,5PA Oil Pan Trim Die #5,5PA,OilPan,,,,,,,,,,,Sunset Tool,2019-06-07,asset only,trim die - the shots report covers die-cast dies only
TD0002,TrimDie,,Not in shots report,59B/5PA Fuel Pump trim die #3,59B/5PA,FuelPump,,,,,,,,,,,Sunset Tool,2019-06-28,asset only,trim die - the shots report covers die-cast dies only
TD0003,TrimDie,,Not in shots report,59B/5PA Fuel Pump trim die #4,59B/5PA,FuelPump,,,,,,,,,,,Sunset Tool,2019-07-12,asset only,trim die - the shots report covers die-cast dies only
TD0004,TrimDie,,Not in shots report,64AA Oil Pan trim die #1,64A,OilPan,,,,,,,,,,,Sunset Tool,2019-09-04,asset only,trim die - the shots report covers die-cast dies only
TD0005,TrimDie,,Not in shots report,5BA R/S #5 Trim #3,5BA,RockerShaft,,,,,,,,,,,Sunset Tool,2019-10-29,asset only,trim die - the shots report covers die-cast dies only
TD0006,TrimDie,,Not in shots report,RPY R/S #1 Trim #2,RPY,RockerShaft,,,,,,,,,,,Sunset Tool,2019-10-29,asset only,trim die - the shots report covers die-cast dies only
TD0007,TrimDie,,Not in shots report,5BA Side Cover Trim #3,5BA,SideCover,,,,,,,,,,,Sunset Tool,2019-10-29,asset only,trim die - the shots report covers die-cast dies only
TD0008,TrimDie,,Not in shots report,"5GO R/S #1,2,3 Trim #4",5GO,RockerShaft,,,,,,,,,,,Sunset Tool,2019-10-29,asset only,trim die - the shots report covers die-cast dies only
TD0009,TrimDie,,Not in shots report,5J6-1 Oil Pan Trim Die #3,5J6,OilPan,,,,,,,,,,,Sunset Tool,2020-01-15,asset only,trim die - the shots report covers die-cast dies only
TD0010,TrimDie,,Not in shots report,"59B C/H #1,5 Trim #3",59B,CamHolder,,,,,,,,,,,Sunset Tool,2020-01-15,asset only,trim die - the shots report covers die-cast dies only
TD0011,TrimDie,,Not in shots report,"6MA C/H #1,5 Trim #1",6MA,CamHolder,,,,,,,,,,,Griffin Tool,2021-01-20,asset only,trim die - the shots report covers die-cast dies only
TD0012,TrimDie,,Not in shots report,"6MA C/H #2,3,4 Trim #1",6MA,CamHolder,,,,,,,,,,,Griffin Tool,2021-01-20,asset only,trim die - the shots report covers die-cast dies only
TD0013,TrimDie,,Not in shots report,6FBA Oil Pan Trim #1,6FB,OilPan,,,,,,,,,,,Griffin Tool,2021-02-02,asset only,trim die - the shots report covers die-cast dies only
TD0014,TrimDie,,Not in shots report,6B2 Fuel Pump Trim #2,6B2,FuelPump,,,,,,,,,,,Griffin Tool,2021-06-16,asset only,trim die - the shots report covers die-cast dies only
TD0015,TrimDie,,Not in shots report,6FBA Oil Passage Trim #1,6FB,OilPassage,,,,,,,,,,,Griffin Tool,2021-08-18,asset only,trim die - the shots report covers die-cast dies only
TD0016,TrimDie,,Not in shots report,6FBA Comp. Holder #1 Trim #1,6FB,,,,,,,,,,,,Griffin Tool,2021-08-18,asset only,trim die - the shots report covers die-cast dies only
TD0017,TrimDie,,Not in shots report,6B2 R/S #5 Trim #2,6B2,RockerShaft,,,,,,,,,,,,2021-09-08,asset only,trim die - the shots report covers die-cast dies only
TD0018,TrimDie,,Not in shots report,6NA Fuel Pump Trim #1,6NA,FuelPump,,,,,,,,,,,Pederson Tool,2021-09-08,asset only,trim die - the shots report covers die-cast dies only
TD0019,TrimDie,,Not in shots report,6MA Oil Pan Trim #1,6MA,OilPan,,,,,,,,,,,Pederson Tool,2021-09-08,asset only,trim die - the shots report covers die-cast dies only
TD0020,TrimDie,,Not in shots report,64AA Oil Pan Trim #2,64A,OilPan,,,,,,,,,,,Griffin Tool,2021-09-22,asset only,trim die - the shots report covers die-cast dies only
TD0021,TrimDie,,Not in shots report,6MA Oil Pan Trim #2,6MA,OilPan,,,,,,,,,,,Pederson Tool,2023-03-10,asset only,trim die - the shots report covers die-cast dies only
TD0022,TrimDie,,Not in shots report,"5GO R/S #1,2,3 Trim #1 (4 CAVITY",5GO,RockerShaft,,,,,,,,,,,Pederson Tool,2022-09-02,asset only,trim die - the shots report covers die-cast dies only
TD0023,TrimDie,,Not in shots report,6MDW MANIFOLD PLATE SINGLE CAV. DESIGN ONLY,6MD,IntakeManifold,,,,,,,,,,,Pederson Tool,2022-09-27,asset only,trim die - the shots report covers die-cast dies only
TD0024,TrimDie,,Not in shots report,6vj/6na trim #2,6NA/6VJ,,,,,,,,,,,,Pederson Tool,2023-11-09,asset only,trim die - the shots report covers die-cast dies only
TD0025,TrimDie,,Not in shots report,HITACHI CASE SINGLE -INTERMEDIATE TRIM A,,IntermediateCase,,,,,,,,,,,Metts,2024-07-23,asset only,trim die - the shots report covers die-cast dies only
TD0026,TrimDie,,Not in shots report,ASTEMO CASE DUAL -INTERMEDIATE TRIM #1,,IntermediateCase,,,,,,,,,,,Metts,2025-08-08,asset only,trim die - the shots report covers die-cast dies only
TD0027,TrimDie,,Not in shots report,6MA Oil Pan Trim Die for 303,6MA,OilPan,,,,,,,,,,,Griffin Tool,2026-02-18,asset only,trim die - the shots report covers die-cast dies only
