AssetTag,Description,Status,CavityCode,MacolaPart,PartName
DM0067,RPY Cam Holder Ex #1-4 die G,W,d,128-090,RPY Holder Comp No 4 Ex Cam
DM0068,"RPY Compressor Bracket die ""F""",W,a,643-090,RPY COMPRESSOR BRACKET MPP
DM0069,"6MA Oil Pan die ""B""",C,a,664-090,6MA Oil Pan (69F Finished)
DM0070,"6MA Oil Pan die ""C""",W,a,664-090,6MA Oil Pan (69F Finished)
DM0071,"59B C/H #1,5 die ""L""",W,a,187-090,59B In Cam No 1 MPP
DM0071,"59B C/H #1,5 die ""L""",W,b,191-090,59B In Cam No 5 MPP
DM0071,"59B C/H #1,5 die ""L""",W,c,192-090,59B In Cam Ex 1 MPP
DM0071,"59B C/H #1,5 die ""L""",W,d,196-090,59B In Cam Ex 5 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,a,188-090,59B In Cam No 2 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,b,189-090,59B In Cam No 3 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,c,190-090,59B In Cam No 4 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,d,193-090,59B In Cam Ex 2 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,e,194-090,59B In Cam Ex 3 MPP
DM0072,"59B C/H #2,3,4 die ""L""",W,f,195-090,59B In Cam Ex 4 MPP
DM0073,RPY Cam Holder Ex Lower #1-4 die G,W,a,131-090,RPY Holder Comp No 1 Exh Cam Lwr
DM0073,RPY Cam Holder Ex Lower #1-4 die G,W,b,132-090,RPY Holder Comp No 2 Exh Cam Lwr
DM0073,RPY Cam Holder Ex Lower #1-4 die G,W,c,133-090,RPY Holder Comp No 3 Exh Cam Lwr
DM0073,RPY Cam Holder Ex Lower #1-4 die G,W,d,134-090,RPY Holder Comp No 4 Exh Cam Lwr
DM0074,"59B/5PA Fuel Pump die ""T""",W,a,143-090,5PA Fuel Pump
DM0074,"59B/5PA Fuel Pump die ""T""",W,b,152-090,59B Base Comp Fuel Pump
DM0075,"59B/5PA Fuel Pump die ""U""",W,a,143-090,5PA Fuel Pump
