Customer,StatusCode,Status,PartCode6,ModelIdentifier,PartDescription,Die,TotalShots,GoodShots,ShotLifePlanned
Honda,C,Current,121,RPY,RPY Holder Comp No 2 In Cam,F,361247,348229,200000
Honda,W,Waiting for Approval,121,RPY,RPY Holder Comp No 2 In Cam,G,179554,168938,0
Honda,B,Backup,136,RPY,RPY Holder Comp No 2 Rkr Shaft,G,210216,204584,175000
Honda,C,Current,136,RPY,RPY Holder Comp No 2 Rkr Shaft,H,342175,332069,175000
Honda,W,Waiting for Approval,136,RPY,RPY Holder Comp No 2 Rkr Shaft,I,199013,189457,0
Honda,W,Waiting for Approval,136,RPY,RPY Holder Comp No 2 Rkr Shaft,J,159358,152488,0
Honda,W,Waiting for Approval,136,RPY,RPY Holder Comp No 2 Rkr Shaft,K,7722,7178,0
Honda,B,Backup,127,RPY,RPY Holder Comp No 3 Ex Cam,D,179844,168610,150000
Honda,C,Current,127,RPY,RPY Holder Comp No 3 Ex Cam,F,240303,232645,200000
Honda,W,Waiting for Approval,127,RPY,RPY Holder Comp No 3 Ex Cam,G,315020,302288,200000
Honda,W,Waiting for Approval,127,RPY,RPY Holder Comp No 3 Ex Cam,H,72446,68624,0
Honda,B,Backup,133,RPY,RPY Holder Comp No 3 Exh Cam Lwr,D,183448,172759,150000
Honda,C,Current,133,RPY,RPY Holder Comp No 3 Exh Cam Lwr,F,326537,313906,200000
Honda,W,Waiting for Approval,133,RPY,RPY Holder Comp No 3 Exh Cam Lwr,G,210034,196235,0
Honda,W,Waiting for Approval,133,RPY,RPY Holder Comp No 3 Exh Cam Lwr,H,94664,87530,0
Honda,B,Backup,122,RPY,RPY Holder Comp No 3 In Cam,D,255146,243417,200000
Honda,C,Current,122,RPY,RPY Holder Comp No 3 In Cam,F,361248,348229,200000
Honda,W,Waiting for Approval,122,RPY,RPY Holder Comp No 3 In Cam,G,179557,168938,0
Honda,B,Backup,137,RPY,RPY Holder Comp No 3 Rkr Shaft,G,210216,204584,175000
Honda,C,Current,137,RPY,RPY Holder Comp No 3 Rkr Shaft,H,342175,332069,175000
Honda,W,Waiting for Approval,137,RPY,RPY Holder Comp No 3 Rkr Shaft,I,199013,189457,0
Honda,W,Waiting for Approval,137,RPY,RPY Holder Comp No 3 Rkr Shaft,J,159358,152488,0
Honda,W,Waiting for Approval,137,RPY,RPY Holder Comp No 3 Rkr Shaft,K,7722,7178,0
Honda,B,Backup,128,RPY,RPY Holder Comp No 4 Ex Cam,D,179844,168610,150000
Honda,C,Current,128,RPY,RPY Holder Comp No 4 Ex Cam,F,240303,232645,200000
Honda,W,Waiting for Approval,128,RPY,RPY Holder Comp No 4 Ex Cam,G,315020,302288,200000
Honda,W,Waiting for Approval,128,RPY,RPY Holder Comp No 4 Ex Cam,H,72446,68624,0
Honda,B,Backup,134,RPY,RPY Holder Comp No 4 Exh Cam Lwr,D,183445,172760,150000
Honda,C,Current,134,RPY,RPY Holder Comp No 4 Exh Cam Lwr,F,326537,313906,200000
Honda,W,Waiting for Approval,134,RPY,RPY Holder Comp No 4 Exh Cam Lwr,G,209834,196035,0
Honda,W,Waiting for Approval,134,RPY,RPY Holder Comp No 4 Exh Cam Lwr,H,94664,87530,0
Honda,B,Backup,123,RPY,RPY Holder Comp No 4 In Cam,D,255146,243417,200000
Honda,C,Current,123,RPY,RPY Holder Comp No 4 In Cam,F,361245,348229,200000
Honda,W,Waiting for Approval,123,RPY,RPY Holder Comp No 4 In Cam,G,179554,168938,0
Honda,B,Backup,138,RPY,RPY Holder Comp No 4 Rkr Shaft,G,210216,204584,175000
Honda,C,Current,138,RPY,RPY Holder Comp No 4 Rkr Shaft,H,342175,332069,175000
Honda,W,Waiting for Approval,138,RPY,RPY Holder Comp No 4 Rkr Shaft,I,199013,189457,0
Honda,W,Waiting for Approval,138,RPY,RPY Holder Comp No 4 Rkr Shaft,J,159358,152488,0
Honda,W,Waiting for Approval,138,RPY,RPY Holder Comp No 4 Rkr Shaft,K,7722,7178,0
Honda,B,Backup,129,RPY,RPY Holder Comp No 5 Ex Cam,D,194455,184442,200000
Honda,C,Current,129,RPY,RPY Holder Comp No 5 Ex Cam,F,246488,230892,200000
Honda,W,Waiting for Approval,129,RPY,RPY Holder Comp No 5 Ex Cam,G,157302,144824,0
Honda,B,Backup,124,RPY,RPY Holder Comp No 5 in Cam,D,194505,184442,200000
Honda,C,Current,124,RPY,RPY Holder Comp No 5 in Cam,F,246488,230872,200000
Honda,W,Waiting for Approval,124,RPY,RPY Holder Comp No 5 in Cam,G,157302,144824,0
Honda,C,Current,139,RPY,RPY Holder Comp No 5 Rkr Shaft,B,290149,260134,150000
Honda,W,Waiting for Approval,139,RPY,RPY Holder Comp No 5 Rkr Shaft,C,10089,9184,0
Honda,B,Backup,130,RPY,RPY Holder Comp No 6 Ex Cam,D,194455,184442,200000
Honda,C,Current,130,RPY,RPY Holder Comp No 6 Ex Cam,F,246488,230892,200000
Honda,W,Waiting for Approval,130,RPY,RPY Holder Comp No 6 Ex Cam,G,157301,144824,0
Honda Alabama,C,Current,155,5J6-1,5J6-1 OIL PAN DC,H,196600,185266,200000
Honda Alabama,C,Current,155,5J6-1,5J6-1 OIL PAN DC,I,212189,193778,200000
Honda Alabama,C,Current,155,5J6-1,5J6-1 OIL PAN DC,J,290719,265852,200000
Honda Alabama,C,Current,155,5J6-1,5J6-1 OIL PAN DC,K,195915,179247,200000
Honda Alabama,W,Waiting for Approval,155,5J6-1,5J6-1 OIL PAN DC,L,239130,220181,0
Honda Alabama,W,Waiting for Approval,155,5J6-1,5J6-1 OIL PAN DC,M,91763,85106,0
Honda Alabama,W,Waiting for Approval,155,5J6-1,5J6-1 OIL PAN DC,N,49822,45598,0
Honda Anna Eng Plnt,B,Backup,192,59B,59B In Cam Ex 1 MPP,H,225459,220773,150000
Honda Anna Eng Plnt,B,Backup,192,59B,59B In Cam Ex 1 MPP,J,269450,261620,150000
Honda Anna Eng Plnt,C,Current,192,59B,59B In Cam Ex 1 MPP,K,389349,379874,150000
Honda Anna Eng Plnt,W,Waiting for Approval,192,59B,59B In Cam Ex 1 MPP,L,327066,316657,0
Honda Anna Eng Plnt,W,Waiting for Approval,192,59B,59B In Cam Ex 1 MPP,M,124409,117744,0
Honda Anna Eng Plnt,W,Waiting for Approval,192,59B,59B In Cam Ex 1 MPP,N,64418,61377,0
Honda Anna Eng Plnt,B,Backup,193,59B,59B In Cam Ex 2 MPP,H,216057,211461,150000
Honda Anna Eng Plnt,B,Backup,193,59B,59B In Cam Ex 2 MPP,J,280124,273207,150000
Honda Anna Eng Plnt,C,Current,193,59B,59B In Cam Ex 2 MPP,K,369908,360334,150000
Honda Anna Eng Plnt,W,Waiting for Approval,193,59B,59B In Cam Ex 2 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,193,59B,59B In Cam Ex 2 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,193,59B,59B In Cam Ex 2 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,194,59B,59B In Cam Ex 3 MPP,H,216057,211461,150000
Honda Anna Eng Plnt,B,Backup,194,59B,59B In Cam Ex 3 MPP,J,280124,273207,150000
Honda Anna Eng Plnt,C,Current,194,59B,59B In Cam Ex 3 MPP,K,369908,360334,150000
Honda Anna Eng Plnt,W,Waiting for Approval,194,59B,59B In Cam Ex 3 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,194,59B,59B In Cam Ex 3 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,194,59B,59B In Cam Ex 3 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,195,59B,59B In Cam Ex 4 MPP,H,216057,211461,150000
Honda Anna Eng Plnt,B,Backup,195,59B,59B In Cam Ex 4 MPP,J,280124,273207,150000
Honda Anna Eng Plnt,C,Current,195,59B,59B In Cam Ex 4 MPP,K,369908,360334,150000
Honda Anna Eng Plnt,W,Waiting for Approval,195,59B,59B In Cam Ex 4 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,195,59B,59B In Cam Ex 4 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,195,59B,59B In Cam Ex 4 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,196,59B,59B In Cam Ex 5 MPP,H,225459,220772,150000
Honda Anna Eng Plnt,B,Backup,196,59B,59B In Cam Ex 5 MPP,J,269450,261620,150000
Honda Anna Eng Plnt,C,Current,196,59B,59B In Cam Ex 5 MPP,K,389349,379874,150000
Honda Anna Eng Plnt,W,Waiting for Approval,196,59B,59B In Cam Ex 5 MPP,L,327066,316657,0
Honda Anna Eng Plnt,W,Waiting for Approval,196,59B,59B In Cam Ex 5 MPP,M,124409,117744,0
Honda Anna Eng Plnt,W,Waiting for Approval,196,59B,59B In Cam Ex 5 MPP,N,64418,61377,0
Honda Anna Eng Plnt,B,Backup,187,59B,59B In Cam No 1 MPP,H,225459,220773,150000
Honda Anna Eng Plnt,B,Backup,187,59B,59B In Cam No 1 MPP,J,269450,261620,150000
Honda Anna Eng Plnt,C,Current,187,59B,59B In Cam No 1 MPP,K,389349,379874,150000
Honda Anna Eng Plnt,W,Waiting for Approval,187,59B,59B In Cam No 1 MPP,L,327061,316652,0
Honda Anna Eng Plnt,W,Waiting for Approval,187,59B,59B In Cam No 1 MPP,M,124409,117744,0
Honda Anna Eng Plnt,W,Waiting for Approval,187,59B,59B In Cam No 1 MPP,N,64418,61377,0
Honda Anna Eng Plnt,B,Backup,188,59B,59B In Cam No 2 MPP,H,216057,211461,150000
Honda Anna Eng Plnt,B,Backup,188,59B,59B In Cam No 2 MPP,J,280124,273207,150000
Honda Anna Eng Plnt,C,Current,188,59B,59B In Cam No 2 MPP,K,369908,360334,150000
Honda Anna Eng Plnt,W,Waiting for Approval,188,59B,59B In Cam No 2 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,188,59B,59B In Cam No 2 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,188,59B,59B In Cam No 2 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,189,59B,59B In Cam No 3 MPP,H,216434,211824,150000
Honda Anna Eng Plnt,B,Backup,189,59B,59B In Cam No 3 MPP,J,279747,272844,150000
Honda Anna Eng Plnt,C,Current,189,59B,59B In Cam No 3 MPP,K,369908,360333,150000
Honda Anna Eng Plnt,W,Waiting for Approval,189,59B,59B In Cam No 3 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,189,59B,59B In Cam No 3 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,189,59B,59B In Cam No 3 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,190,59B,59B In Cam No 4 MPP,H,216057,211461,150000
Honda Anna Eng Plnt,B,Backup,190,59B,59B In Cam No 4 MPP,J,280124,273207,150000
Honda Anna Eng Plnt,C,Current,190,59B,59B In Cam No 4 MPP,K,369908,360334,150000
Honda Anna Eng Plnt,W,Waiting for Approval,190,59B,59B In Cam No 4 MPP,L,334196,323325,0
Honda Anna Eng Plnt,W,Waiting for Approval,190,59B,59B In Cam No 4 MPP,M,92236,87891,0
Honda Anna Eng Plnt,W,Waiting for Approval,190,59B,59B In Cam No 4 MPP,N,78163,74409,0
Honda Anna Eng Plnt,B,Backup,191,59B,59B In Cam No 5 MPP,H,225459,220773,150000
Honda Anna Eng Plnt,B,Backup,191,59B,59B In Cam No 5 MPP,J,269450,261620,150000
Honda Anna Eng Plnt,C,Current,191,59B,59B In Cam No 5 MPP,K,389349,379874,150000
Honda Anna Eng Plnt,W,Waiting for Approval,191,59B,59B In Cam No 5 MPP,L,327066,316657,0
Honda Anna Eng Plnt,W,Waiting for Approval,191,59B,59B In Cam No 5 MPP,M,123509,117744,0
Honda Anna Eng Plnt,W,Waiting for Approval,191,59B,59B In Cam No 5 MPP,N,64418,61377,0
Honda Anna Eng Plnt,B,Backup,567,5A2,5A2 Fuel Pump,S,212644,199361,150000
Honda Anna Eng Plnt,C,Current,567,5A2,5A2 Fuel Pump,T,171684,156552,150000
Honda Anna Eng Plnt,B,Backup,583,5A2,5A2 HOLDER COMP NO 1 IN CAM DC,D,230349,213816,200000
Honda Anna Eng Plnt,C,Current,583,5A2,5A2 HOLDER COMP NO 1 IN CAM DC,E,236927,219748,200000
Honda Anna Eng Plnt,B,Backup,588,5A2,5A2 HOLDER COMP NO 1-2 EX CAM,D,164931,154587,150000
Honda Anna Eng Plnt,C,Current,588,5A2,5A2 HOLDER COMP NO 1-2 EX CAM,E,155177,146269,150000
Honda Anna Eng Plnt,C,Current,584,5A2,5A2 HOLDER COMP NO 2 IN CAM DC,G,256905,245895,200000
Honda Anna Eng Plnt,B,Backup,589,5A2,5A2 HOLDER COMP NO 3 EX CAM DC,D,230339,213816,200000
Honda Anna Eng Plnt,C,Current,589,5A2,5A2 HOLDER COMP NO 3 EX CAM DC,E,236785,219748,200000
Honda Anna Eng Plnt,C,Current,585,5A2,5A2 HOLDER COMP NO 3 IN CAM DC,G,256892,245895,200000
Honda Anna Eng Plnt,C,Current,590,5A2,5A2 HOLDER COMP NO 4 EX CAM DC,E,114394,107324,200000
