Id,BomID,BomForMaterial,ParentCompId,ComponentMaterialId,ComponentMaterial,ComponentClass,Quantity,UnitOfMeasure
105,46,1226B-5B0 -Y000,NULL,82,12231-5A2,5A2 Components,1.000000
106,46,1226B-5B0 -Y000,NULL,83,12232-5A2,5A2 Components,1.000000
107,46,1226B-5B0 -Y000,NULL,84,12233-5A2,5A2 Components,1.000000
108,46,1226B-5B0 -Y000,NULL,85,12234-5A2,5A2 Components,1.000000
109,46,1226B-5B0 -Y000,NULL,86,12235-5A2,5A2 Components,1.000000
110,46,1226B-5B0 -Y000,NULL,87,12241-5A2,5A2 Components,1.000000
111,46,1226B-5B0 -Y000,NULL,88,12243-5A2,5A2 Components,1.000000
112,46,1226B-5B0 -Y000,NULL,89,12244-5A2,5A2 Components,1.000000
113,46,1226B-5B0 -Y000,NULL,90,12245-5A2,5A2 Components,1.000000
115,46,1226B-5B0 -Y000,NULL,77,12261-5A2,5A2 Components,1.000000
116,46,1226B-5B0 -Y000,NULL,78,12262-5A2,5A2 Components,1.000000
117,46,1226B-5B0 -Y000,NULL,79,12263-5A2,5A2 Components,1.000000
118,46,1226B-5B0 -Y000,NULL,95,12265-5B0,5A2 Components,1.000000
119,46,1226B-5B0 -Y000,NULL,99,1226B-5B0 -Y000,5A2 Finished Goods,1.000000
120,46,1226B-5B0 -Y000,NULL,92,90701-5A2-A000,5A2 Components,29.000000
121,46,1226B-5B0 -Y000,NULL,93,90702-5A2-A000,5A2 Components,1.000000
122,46,1226B-5B0 -Y000,NULL,94,96211-08000,5A2 Components,2.000000
195,46,1226B-5B0 -Y000,NULL,80,12264-5A2,5A2 Components,1.000000,NULL
123,47,12261-5A2,NULL,77,12261-5A2,5A2 Components,1.000000,NULL
124,48,12262-5A2,NULL,78,12262-5A2,5A2 Components,1.000000,NULL
125,49,12263-5A2,NULL,79,12263-5A2,5A2 Components,1.000000,NULL
126,50,12264-5A2,NULL,80,12264-5A2,5A2 Components,1.000000,NULL
128,52,12246-5A2,NULL,91,12246-5A2,5A2 Components,1.000000,NULL
129,53,12231-5A2,NULL,82,12231-5A2,5A2 Components,1.000000,NULL
130,54,12243-5A2,NULL,88,12243-5A2,5A2 Components,1.000000,NULL
131,55,12232-5A2,NULL,83,12232-5A2,5A2 Components,1.000000,NULL
132,56,12233-5A2,NULL,84,12233-5A2,5A2 Components,1.000000,NULL
133,57,12234-5A2,NULL,85,12234-5A2,5A2 Components,1.000000,NULL
134,58,12235-5A2,NULL,86,12235-5A2,5A2 Components,1.000000,NULL
135,59,12244-5A2,NULL,89,12244-5A2,5A2 Components,1.000000,NULL
136,60,12245-5A2,NULL,90,12245-5A2,5A2 Components,1.000000,NULL
137,61,12241-5A2,NULL,87,12241-5A2,5A2 Components,1.000000,NULL
192,65,12270-5A2 -A0101,NULL,104,12270-5A2,5A2 Components,1.000000
193,65,12270-5A2 -A0101,NULL,98,92900-06012-0B,5A2 Components,1.000000,NULL
194,65,12270-5A2 -A0101,NULL,97,94301-10120,5A2 Components,2.000000
197,66,12265-5A2,NULL,81,12265-5A2,5A2 Components,1.000000,NULL
200,67,12231-5G0,NULL,56,12231-5G0,5G0 Components,1.000000,NULL
201,68,12232-5G0,NULL,57,12232-5G0,5G0 Components,1.000000,NULL
202,69,12233-5G0,NULL,58,12233-5G0,5G0 Components,1.000000,NULL
203,70,12270-5A2,NULL,104,12270-5A2,5A2 Components,1.000000,NULL
409,71,19321-R4H -A000,NULL,207,19321-R4H,Offsite Components,1.000000,NULL
335,72,12236-R1A -A000,NULL,149,11200-5K8,5K8 Components,1.000000,NULL
206,73,12231-RPY -G000,NULL,107,12231-RPY -G000,RPY Components,1.000000,NULL
207,74,12232-RPY -G000,NULL,108,12232-RPY -G000,RPY Components,1.000000,NULL
209,75,12233-RPY -G000,NULL,109,12233-RPY -G000,RPY Components,1.000000,NULL
212,76,12234-RPY -G000,NULL,110,12234-RPY -G000,RPY Components,1.000000,NULL
214,77,12235-RPY -G000,NULL,111,12235-RPY -G000,RPY Components,1.000000,NULL
225,78,12241-RPY -G000,NULL,112,12241-RPY -G000,RPY Components,1.000000,NULL
224,79,12242-RPY -G000,NULL,113,12242-RPY -G000,RPY Components,1.000000,NULL
223,80,12243-RPY -G000,NULL,114,12243-RPY -G000,RPY Components,1.000000,NULL
222,81,12244-RPY -G000,NULL,115,12244-RPY -G000,RPY Components,1.000000,NULL
221,82,12245-RPY -G000,NULL,116,12245-RPY -G000,RPY Components,1.000000,NULL
220,83,12246-RPY -G000,NULL,117,12246-RPY -G000,RPY Components,1.000000,NULL
219,84,12261-RPY -G000,NULL,118,12261-RPY -G000,RPY Components,1.000000,NULL
218,85,12262-RPY -G000,NULL,119,12262-RPY -G000,RPY Components,1.000000,NULL
217,86,12263-RPY -G000,NULL,120,12263-RPY -G000,RPY Components,1.000000,NULL
226,87,12264-RPY -G000,NULL,121,12264-RPY -G000,RPY Components,1.000000,NULL
205,88,12265-RPY -G000,NULL,122,12265-RPY -G000,RPY Components,1.000000,NULL
213,89,12271-RPY -G000,NULL,123,12271-RPY -G000,RPY Components,1.000000,NULL
211,90,12272-RPY -G000,NULL,124,12272-RPY -G000,RPY Components,1.000000,NULL
210,91,12273-RPY -G000,NULL,125,12273-RPY -G000,RPY Components,1.000000,NULL
208,92,12274-RPY -G000,NULL,126,12274-RPY -G000,RPY Components,1.000000,NULL
204,93,1223A-RPY -G000,NULL,122,12265-RPY -G000,RPY Components,1.000000,NULL
229,93,1223A-RPY -G000,NULL,107,12231-RPY -G000,RPY Components,1.000000,NULL
230,93,1223A-RPY -G000,NULL,108,12232-RPY -G000,RPY Components,1.000000,NULL
231,93,1223A-RPY -G000,NULL,109,12233-RPY -G000,RPY Components,1.000000,NULL
232,93,1223A-RPY -G000,NULL,110,12234-RPY -G000,RPY Components,1.000000,NULL
233,93,1223A-RPY -G000,NULL,111,12235-RPY -G000,RPY Components,1.000000,NULL
234,93,1223A-RPY -G000,NULL,112,12241-RPY -G000,RPY Components,1.000000,NULL
235,93,1223A-RPY -G000,NULL,113,12242-RPY -G000,RPY Components,1.000000,NULL
236,93,1223A-RPY -G000,NULL,114,12243-RPY -G000,RPY Components,1.000000,NULL
237,93,1223A-RPY -G000,NULL,115,12244-RPY -G000,RPY Components,1.000000,NULL
238,93,1223A-RPY -G000,NULL,116,12245-RPY -G000,RPY Components,1.000000,NULL
239,93,1223A-RPY -G000,NULL,117,12246-RPY -G000,RPY Components,1.000000,NULL
240,93,1223A-RPY -G000,NULL,118,12261-RPY -G000,RPY Components,1.000000,NULL
241,93,1223A-RPY -G000,NULL,119,12262-RPY -G000,RPY Components,1.000000,NULL
242,93,1223A-RPY -G000,NULL,120,12263-RPY -G000,RPY Components,1.000000,NULL
243,93,1223A-RPY -G000,NULL,121,12264-RPY -G000,RPY Components,1.000000,NULL
244,93,1223A-RPY -G000,NULL,123,12271-RPY -G000,RPY Components,1.000000,NULL
245,93,1223A-RPY -G000,NULL,124,12272-RPY -G000,RPY Components,1.000000,NULL
246,93,1223A-RPY -G000,NULL,125,12273-RPY -G000,RPY Components,1.000000,NULL
247,93,1223A-RPY -G000,NULL,126,12274-RPY -G000,RPY Components,1.000000,NULL
248,93,1223A-RPY -G000,NULL,127,1223A-RPY -G000,RPY Finished Goods,1.000000,NULL
249,93,1223A-RPY -G000,NULL,92,90701-5A2-A000,5A2 Components,28.000000
250,93,1223A-RPY -G000,NULL,136,96211-09000,RPY Components,1.000000,NULL
227,94,12270-RPY,NULL,128,12270-RPY,RPY Components,1.000000,NULL
215,95,12265-5BA -A000,NULL,129,12265-5BA -A000,RPY Components,1.000000,NULL
253,96,1223A-5BA -A000,NULL,107,12231-RPY -G000,RPY Components,1.000000,NULL
254,96,1223A-5BA -A000,NULL,108,12232-RPY -G000,RPY Components,1.000000,NULL
255,96,1223A-5BA -A000,NULL,109,12233-RPY -G000,RPY Components,1.000000,NULL
256,96,1223A-5BA -A000,NULL,110,12234-RPY -G000,RPY Components,1.000000,NULL
257,96,1223A-5BA -A000,NULL,111,12235-RPY -G000,RPY Components,1.000000,NULL
258,96,1223A-5BA -A000,NULL,112,12241-RPY -G000,RPY Components,1.000000,NULL
259,96,1223A-5BA -A000,NULL,113,12242-RPY -G000,RPY Components,1.000000,NULL
260,96,1223A-5BA -A000,NULL,114,12243-RPY -G000,RPY Components,1.000000,NULL
261,96,1223A-5BA -A000,NULL,115,12244-RPY -G000,RPY Components,1.000000,NULL
262,96,1223A-5BA -A000,NULL,116,12245-RPY -G000,RPY Components,1.000000,NULL
263,96,1223A-5BA -A000,NULL,117,12246-RPY -G000,RPY Components,1.000000,NULL
264,96,1223A-5BA -A000,NULL,118,12261-RPY -G000,RPY Components,1.000000,NULL
265,96,1223A-5BA -A000,NULL,119,12262-RPY -G000,RPY Components,1.000000,NULL
266,96,1223A-5BA -A000,NULL,120,12263-RPY -G000,RPY Components,1.000000
267,96,1223A-5BA -A000,NULL,121,12264-RPY -G000,RPY Components,1.000000,NULL
268,96,1223A-5BA -A000,NULL,129,12265-5BA -A000,RPY Components,1.000000,NULL
269,96,1223A-5BA -A000,NULL,123,12271-RPY -G000,RPY Components,1.000000,NULL
270,96,1223A-5BA -A000,NULL,124,12272-RPY -G000,RPY Components,1.000000,NULL
271,96,1223A-5BA -A000,NULL,125,12273-RPY -G000,RPY Components,1.000000,NULL
272,96,1223A-5BA -A000,NULL,126,12274-RPY -G000,RPY Components,1.000000,NULL
273,96,1223A-5BA -A000,NULL,130,1223A-5BA -A000,RPY Finished Goods,1.000000,NULL
274,96,1223A-5BA -A000,NULL,92,90701-5A2-A000,5A2 Components,28.000000,NULL
275,96,1223A-5BA -A000,NULL,136,96211-09000,RPY Components,1.000000
285,97,12270-5BAA,NULL,131,12270-5BAA,RPY Components,1.000000,NULL
418,99,19315-RNA -A000,NULL,224,19315-RNA RAW,Offsite Components,1.000000,NULL
228,100,12270-RPY -G001,NULL,128,12270-RPY,RPY Components,1.000000,NULL
251,100,12270-RPY -G001,NULL,97,94301-10120,5A2 Components,2.000000,NULL
252,100,12270-RPY -G001,NULL,135,12270-RPY -G001,RPY Finished Goods,1.000000,NULL
419,102,38930-RPY -E010,NULL,225,38930-RPYX,Offsite Components,1.000000,NULL
545,102,38930-RPY -E010,NULL,138,38930-RPY -E010,Offsite Finished Goods,1.000000,NULL
336,103,1941A-RPY -G000,NULL,132,19410-RPY -G000,RPY Components,1.000000,NULL
351,103,1941A-RPY -G000,NULL,180,95701-06016-08,RPY Components,5.000000,NULL
352,103,1941A-RPY -G000,NULL,179,15500-RPY -G010-M4,RPY Components,1.000000,NULL
420,104,46939-TA9 -G000,NULL,226,46939-TA9 ,Offsite Components,1.000000,NULL
276,105,12270-5BA -A000,NULL,131,12270-5BAA,RPY Components,1.000000,NULL
277,105,12270-5BA -A000,NULL,141,12270-5BA -A000,RPY Finished Goods,1.000000,NULL
278,105,12270-5BA -A000,NULL,97,94301-10120,5A2 Components,2.000000,NULL
279,105,12270-5BA -A000,NULL,98,92900-06012-0B,5A2 Components,1.000000,NULL
280,106,12270-59B,NULL,142,12270-59B,59B Components,1.000000,NULL
281,107,12270-59B -0000A,NULL,142,12270-59B,59B Components,1.000000,NULL
282,107,12270-59B -0000A,NULL,143,94301-08100,59B Components,2.000000
283,107,12270-59B -0000A,NULL,145,12270-59B -0000A,59B Finished Goods,1.000000,NULL
284,107,12270-59B -0000A,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
286,108,1120A-5AA -A010,NULL,149,11200-5K8,5K8 Components,1.000000,NULL
287,108,1120A-5AA -A010,NULL,155,11221-59B-0000,5K8 Components,1.000000,NULL
288,108,1120A-5AA -A010,NULL,154,19517-PD6-3000,5K8 Components,1.000000,NULL
289,108,1120A-5AA -A010,NULL,151,94109-14000,5K8 Components,1.000000,NULL
290,108,1120A-5AA -A010,NULL,152,90703-59B-0000,5K8 Components,1.000000,NULL
291,108,1120A-5AA -A010,NULL,153,94301-12160,5K8 Components,1.000000,NULL
303,108,1120A-5AA -A010,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
304,108,1120A-5AA -A010,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
305,108,1120A-5AA -A010,NULL,165,91301-RNAA-A001,5K8 Components,3.000000,NULL
334,108,1120A-5AA -A010,NULL,147,1120A-5AA -A010,5K8 Finished Goods,1.000000,NULL
296,110,12270-5BA,NULL,158,12270-5BA,5BA Components,1.000000,NULL
297,111,12270-5BA-A010,NULL,160,12270-5BA-A010,5BA Finished Goods,1.000000,NULL
298,111,12270-5BA-A010,NULL,97,94301-10120,5A2 Components,2.000000
299,111,12270-5BA-A010,NULL,98,92900-06012-0B,5A2 Components,1.000000,NULL
356,112,19311-59B -0000,NULL,185,19311-59B,59B Components,1.000000,NULL
453,113,19320-5AA -A000,NULL,245,19320-5AA,Offsite Components,1.000000,NULL
353,114,19320-59B -0000,NULL,181,19320-59B,59B Components,1.000000,NULL
354,116,19321-5BA -A000,NULL,182,19321-5BA,5BA Components,1.000000,NULL
300,117,11200-5K8,NULL,149,11200-5K8,5K8 Components,1.000000,NULL
301,118,11221-59B-0000,NULL,155,11221-59B-0000,5K8 Components,1.000000,NULL
302,119,19517-PD6-3000,NULL,154,19517-PD6-3000,5K8 Components,1.000000,NULL
390,120,12241-59B-0000,NULL,167,12241-59B-0000,59B Components,1.000000,NULL
392,121,12243-59B-0000,NULL,169,12243-59B-0000,59B Components,1.000000,NULL
393,122,12244-59B-0000,NULL,170,12244-59B-0000,59B Components,1.000000,NULL
394,123,12245-59B-0000,NULL,171,12245-59B-0000,59B Components,1.000000,NULL
328,124,12231-59B-0000,NULL,172,12231-59B-0000,59B Components,1.000000,NULL
329,125,12232-59B-0000,NULL,173,12232-59B-0000,59B Components,1.000000,NULL
331,126,12234-59B-0000,NULL,174,12234-59B-0000,59B Components,1.000000,NULL
332,127,12235-59B-0000,NULL,175,12235-59B-0000,59B Components,1.000000,NULL
330,128,12233-59B-0000,NULL,176,12233-59B-0000,59B Components,1.000000,NULL
306,129,1223A-59B -A0002,NULL,173,12232-59B-0000,59B Components,1.000000
307,129,1223A-59B -A0002,NULL,172,12231-59B-0000,59B Components,1.000000,NULL
308,129,1223A-59B -A0002,NULL,176,12233-59B-0000,59B Components,1.000000,NULL
309,129,1223A-59B -A0002,NULL,174,12234-59B-0000,59B Components,1.000000,NULL
310,129,1223A-59B -A0002,NULL,175,12235-59B-0000,59B Components,1.000000,NULL
311,129,1223A-59B -A0002,NULL,167,12241-59B-0000,59B Components,1.000000,NULL
312,129,1223A-59B -A0002,NULL,168,12242-59B-0000,59B Components,1.000000,NULL
313,129,1223A-59B -A0002,NULL,169,12243-59B-0000,59B Components,1.000000,NULL
314,129,1223A-59B -A0002,NULL,170,12244-59B-0000,59B Components,1.000000,NULL
315,129,1223A-59B -A0002,NULL,171,12245-59B-0000,59B Components,1.000000,NULL
316,129,1223A-59B -A0002,NULL,177,1223A-59B -A0002,59B Finished Goods,1.000000
391,131,12242-59B-0000,NULL,168,12242-59B-0000,59B Components,1.000000,NULL
355,134,19410-59B -0100,NULL,184,19410-59B,59B Components,1.000000,NULL
357,135,12270-5PA -A0001,NULL,186,12270-5PA -A0001,5PA Finished Goods,1.000000,NULL
358,135,12270-5PA -A0001,NULL,144,92900-06014-1B,59B Components,1.000000,NULL
359,135,12270-5PA -A0001,NULL,143,94301-08100,59B Components,1.000000,NULL
361,135,12270-5PA -A0001,NULL,187,12270-5PA,5PA Components,1.000000,NULL
360,136,12270-5PA,NULL,187,12270-5PA,5PA Components,1.000000,NULL
362,137,22533-RJ2 -0000,NULL,189,22533-RJ2,59B Components,1.000000
364,138,1120A-5PA,NULL,190,1120A-5PA,5PA Components,1.000000,NULL
365,139,1120A-5PA -A010,NULL,190,1120A-5PA,5PA Components,1.000000,NULL
366,139,1120A-5PA -A010,NULL,193,1120A-5PA -A010,5PA Finished Goods,1.000000,NULL
367,139,1120A-5PA -A010,NULL,153,94301-12160,5K8 Components,1.000000,NULL
368,139,1120A-5PA -A010,NULL,151,94109-14000,5K8 Components,1.000000,NULL
369,139,1120A-5PA -A010,NULL,154,19517-PD6-3000,5K8 Components,1.000000,NULL
370,139,1120A-5PA -A010,NULL,155,11221-59B-0000,5K8 Components,1.000000,NULL
371,139,1120A-5PA -A010,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
372,139,1120A-5PA -A010,NULL,191,91301-RNA-A020-M2,5PA Components,3.000000,NULL
373,139,1120A-5PA -A010,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
374,139,1120A-5PA -A010,NULL,192,15123-PCX-0030-H1,5PA Components,1.000000,NULL
375,140,44512-SZA -A000,NULL,195,44512-SZA,5G0 Components,1.000000,NULL
376,141,1223A-59B -A0002,NULL,172,12231-59B-0000,59B Components,1.000000
377,141,1223A-59B -A0002,NULL,173,12232-59B-0000,59B Components,1.000000
378,141,1223A-59B -A0002,NULL,176,12233-59B-0000,59B Components,1.000000
379,141,1223A-59B -A0002,NULL,174,12234-59B-0000,59B Components,1.000000
380,141,1223A-59B -A0002,NULL,175,12235-59B-0000,59B Components,1.000000
381,141,1223A-59B -A0002,NULL,177,1223A-59B -A0002,59B Finished Goods,1.000000
382,141,1223A-59B -A0002,NULL,167,12241-59B-0000,59B Components,1.000000
383,141,1223A-59B -A0002,NULL,168,12242-59B-0000,59B Components,1.000000
384,141,1223A-59B -A0002,NULL,169,12243-59B-0000,59B Components,1.000000
385,141,1223A-59B -A0002,NULL,170,12244-59B-0000,59B Components,1.000000
386,141,1223A-59B -A0002,NULL,171,12245-59B-0000,59B Components,1.000000
387,141,1223A-59B -A0002,NULL,196,90701-5R0-3000,59B Components,19.000000,NULL
388,141,1223A-59B -A0002,NULL,92,90701-5A2-A000,5A2 Components,1.000000,NULL
389,142,1223A-59B,NULL,197,1223A-59B,59B Components,1.000000,NULL
397,144,22790-5MX -A000,NULL,202,95701-06012-08,Offsite Components,2.000000,NULL
398,144,22790-5MX -A000,NULL,200,91308-PH9-0000,Offsite Components,2.000000,NULL
399,144,22790-5MX -A000,NULL,201,22792-5MX-A000,Offsite Components,1.000000,NULL
400,144,22790-5MX -A000,NULL,199,22790-5MX,Offsite Components,1.000000,NULL
401,145,19321-5BF -G000,NULL,205,19321-5BF,Offsite Components,1.000000,NULL
402,146,19321-R4H -G000,NULL,207,19321-R4H,Offsite Components,1.000000,NULL
403,147,21255-RT4 -0000,NULL,210,21255-RT4,Offsite Components,1.000000,NULL
404,147,21255-RT4 -0000,NULL,211,21259-RT4-3000,Offsite Components,1.000000,NULL
405,148,21230-RV2 -A000,NULL,213,90030-RT4 -0030,Offsite Components,1.000000,NULL
406,148,21230-RV2 -A000,NULL,214,91318-RT4 -0030,Offsite Components,1.000000,NULL
407,148,21230-RV2 -A000,NULL,212,21230-RV2,Offsite Components,1.000000,NULL
408,149,44513-TK8-A002,NULL,216,44513-TK8,Offsite Components,1.000000,NULL
410,153,1120A-5LA -A000,NULL,220,1120A-5LA ,Offsite Components,1.000000,NULL
411,153,1120A-5LA -A000,NULL,221,91303-5A2-A010-M1,Offsite Components,1.000000,NULL
412,153,1120A-5LA -A000,NULL,192,15123-PCX-0030-H1,5PA Components,1.000000,NULL
413,153,1120A-5LA -A000,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
414,153,1120A-5LA -A000,NULL,143,94301-08100,59B Components,1.000000,NULL
415,153,1120A-5LA -A000,NULL,166,90015-PH1-0130,5K8 Components,1.000000,NULL
416,153,1120A-5LA -A000,NULL,151,94109-14000,5K8 Components,1.000000,NULL
417,154,MPM30-0000-201,NULL,223,mpm300000201,Offsite Components,1.000000,NULL
421,155,11200-5J6 -A110,NULL,230,94301-08140,Offsite Components,2.000000,NULL
422,155,11200-5J6 -A110,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
423,155,11200-5J6 -A110,NULL,151,94109-14000,5K8 Components,1.000000,NULL
619,155,11200-5J6 -A110,NULL,229,11200-5J6 -A110,5J6 Finished Goods,1.000000,NULL
620,155,11200-5J6 -A110,NULL,336,11200-5J6 -A100,5J6 Components,1.000000,NULL
424,156,1120R-5J6 -A010,NULL,230,94301-08140,Offsite Components,2.000000,NULL
425,156,1120R-5J6 -A010,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
426,156,1120R-5J6 -A010,NULL,151,94109-14000,5K8 Components,1.000000,NULL
432,156,1120R-5J6 -A010,NULL,231,1120R-5J6 RAW,Offsite Components,1.000000,NULL
427,157,11200-5MH -A000,NULL,230,94301-08140,Offsite Components,2.000000,NULL
428,157,11200-5MH -A000,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
429,157,11200-5MH -A000,NULL,151,94109-14000,5K8 Components,1.000000,NULL
431,157,11200-5MH -A000,NULL,233,11200-5MH RAW,Offsite Components,1.000000,NULL
433,158,19321-5A2 -A010,NULL,235,19321-5A2,Offsite Components,1.000000,NULL
434,159,11200-PGE-A00,NULL,230,94301-08140,Offsite Components,2.000000,NULL
435,159,11200-PGE-A00,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
436,159,11200-PGE-A00,NULL,151,94109-14000,5K8 Components,1.000000,NULL
444,159,11200-PGE-A00,NULL,241,11200-PGE,Offsite Components,1.000000,NULL
437,160,11200-P8A-A00,NULL,230,94301-08140,Offsite Components,2.000000,NULL
438,160,11200-P8A-A00,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
439,160,11200-P8A-A00,NULL,151,94109-14000,5K8 Components,1.000000,NULL
445,160,11200-P8A-A00,NULL,240,11200-P8A ,Offsite Components,1.000000,NULL
440,161,11200-RDJ-A00,NULL,237,11200-RDJ,Offsite Components,1.000000,NULL
441,161,11200-RDJ-A00,NULL,230,94301-08140,Offsite Components,2.000000,NULL
442,161,11200-RDJ-A00,NULL,150,90009-R70-A000,5K8 Components,1.000000,NULL
443,161,11200-RDJ-A00,NULL,151,94109-14000,5K8 Components,1.000000,NULL
446,162,12270-6B2,NULL,243,12270-6B2,6B2 Components,1.000000,NULL
447,163,12270-6B2 -A000B,NULL,243,12270-6B2,6B2 Components,1.000000,NULL
448,163,12270-6B2 -A000B,NULL,242,12270-6B2 -A000B,6B2 Finished Goods,1.000000,NULL
450,163,12270-6B2 -A000B,NULL,98,92900-06012-0B,5A2 Components,1.000000,NULL
451,163,12270-6B2 -A000B,NULL,97,94301-10120,5A2 Components,1.000000
452,163,12270-6B2 -A000B,NULL,244,92900-06050-0B,6B2 Components,1.000000,NULL
454,164,1223A-6B2- A000,NULL,107,12231-RPY -G000,RPY Components,1.000000,NULL
455,164,1223A-6B2- A000,NULL,108,12232-RPY -G000,RPY Components,1.000000,NULL
456,164,1223A-6B2- A000,NULL,109,12233-RPY -G000,RPY Components,1.000000,NULL
457,164,1223A-6B2- A000,NULL,115,12244-RPY -G000,RPY Components,1.000000,NULL
458,164,1223A-6B2- A000,NULL,111,12235-RPY -G000,RPY Components,1.000000,NULL
459,164,1223A-6B2- A000,NULL,110,12234-RPY -G000,RPY Components,1.000000,NULL
460,164,1223A-6B2- A000,NULL,247,1223A-6B2- A000,RPY Finished Goods,1.000000,NULL
461,164,1223A-6B2- A000,NULL,112,12241-RPY -G000,RPY Components,1.000000,NULL
462,164,1223A-6B2- A000,NULL,113,12242-RPY -G000,RPY Components,1.000000,NULL
463,164,1223A-6B2- A000,NULL,114,12243-RPY -G000,RPY Components,1.000000,NULL
464,164,1223A-6B2- A000,NULL,116,12245-RPY -G000,RPY Components,1.000000,NULL
