SchemaName,TableName,Ord,ColumnName,DataType,Nullable,Identity_,IsPK
dbo,LabelPrinterLabelTemplate,1,LabelPrinterID,int,NOT NULL,,PK
dbo,LabelPrinterLabelTemplate,2,LabelTemplateID,int,NOT NULL,,PK
dbo,LabelTemplate,1,LabelTemplateID,int,NOT NULL,IDENTITY,PK
dbo,LabelTemplate,2,Name,nvarchar(100),NOT NULL
dbo,LabelTemplate,3,Description,nvarchar(max),NULL
dbo,LabelTemplate,7,DisplayName,nvarchar(100),NOT NULL
dbo,LabelTemplate,8,CreatedTimestamp,datetime,NOT NULL
dbo,LabelTemplate,9,ModifiedTimestamp,datetime,NOT NULL
dbo,LabelTemplate,10,TemplatePath,nvarchar(900),NOT NULL
dbo,LblParts,1,STRADINGPARTNER,char(8),NOT NULL,,PK
dbo,LblParts,2,SPARTNBR,char(30),NOT NULL,,PK
dbo,LblParts,3,SSUPPLIERPART,char(30),NOT NULL
dbo,LblParts,4,SDESCRIPTION,char(64),NULL
dbo,LblParts,5,SUNITOFMEASURE,char(3),NULL
dbo,LblParts,6,RUNITPRICE,float,NULL
dbo,LblParts,7,RUNITWT,float,NULL
dbo,LblParts,8,RQTYPERPACKAGE,float,NULL
dbo,LblParts,9,IQTYPERMASTER,int,NULL
dbo,LblParts,10,SCONTAINERTYPE,char(10),NULL
dbo,LblParts,11,BPRINTMASTER,tinyint,NULL
dbo,LblParts,12,SPARTTYPE,char(4),NOT NULL
dbo,LblParts,13,RPARTWT,float,NULL
dbo,LblParts,14,SSUPPLIERCODE,char(17),NULL
dbo,LblParts,35,DTLASTPRINTED_SQL,datetime2,NULL
dbo,LblParts,41,DTCUMSTART_SQL,datetime2,NULL
dbo,LblParts,53,DTCREATED_SQL,datetime2,NULL
dbo,LblParts,56,DTMODIFIED_SQL,datetime2,NULL
dbo,Lot,1,LotID,int,NOT NULL,IDENTITY,PK
dbo,Lot,2,Name,nvarchar(100),NOT NULL
dbo,Lot,3,Description,nvarchar(max),NULL
dbo,Lot,5,LotStateID,int,NOT NULL
dbo,Lot,7,DispositionReason,nvarchar(max),NULL
dbo,Lot,8,OriginalQuantity,"decimal(18,6)",NOT NULL
dbo,Lot,9,Quantity,"decimal(18,6)",NOT NULL
dbo,Lot,10,CreatedTimestamp,datetime,NOT NULL
dbo,Lot,11,ModifiedTimestamp,datetime,NOT NULL
dbo,Lot,12,FinishedTimestamp,datetime,NULL
