Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
257,19320-6A0 A010,A010 THERMO CASE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
256,19320-6A0 A510,A510 THERMO CASE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
331,19320-6MAA-J020,6MA CASE COMP THERMO,Offsite Components,0,0,NULL,NULL,NULL,NULL
235,19321-5A2,5A2 THERMO CASE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
205,19321-5BF,5BF thermo Raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
306,19321-64S -A030,"CASE COMP, THERMO RAW",Offsite Components,0,0,NULL,NULL,NULL,NULL
450,19321-66V-A100,66V Thermo Case Raw,Offsite Components,0,0,NULL,NULL,NULL,NULL
335,19321-66VA-A000,THERMO CASE RAW,Offsite Components,0,0,NULL,NULL,NULL,PH
251,19321-6B2,THERMO CASE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
253,19321-6B2 A510 ,A510 THERMO CASE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
207,19321-R4H,R4H Thermo Raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
249,19410-6A0,WATER PASSAGE RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
212,21230-RV2,Cap A Raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
210,21255-RT4,cap cooler raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
211,21259-RT4-3000,CHOKE LUBE CHECK,Offsite Components,0,1,1.000,Pound,NULL,NULL
199,22790-5MX,5MX pipe assy raw,Offsite Components,0,1,0.000,Pound,NULL,NULL
270,22790-5YK ,"PIPE B ASSY, DIFF LUB RAW",Offsite Components,0,0,NULL,NULL,NULL,NULL
271,22790-5YL,"PIPE B ASSY, DIFF LUB RAW",Offsite Components,0,0,NULL,NULL,NULL,NULL
201,22792-5MX-A000,"Plate, Diff Lub ",Offsite Components,0,1,NULL,NULL,NULL,NULL
225,38930-RPYX,COMPRESSOR BRKT RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
216,44513-TK8,TK8 Housing raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
226,46939-TA9 ,S/C ADAPTER RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
267,48731-5YP,PISTON CLUTCH RAW,Offsite Components,0,1,1.000,Pound,NULL,NULL
422,4YS05-148,6X12 STUD BOLT,Offsite Components,0,0,1.000,Pound,NULL,US
406,59B EX 1,59B EX 1,Offsite Components,0,0,1.000,Pound,NULL,US
407,59B EX 2,59B EX 2,Offsite Components,0,0,1.000,Pound,NULL,US
408,59B EX 3,59B EX 3,Offsite Components,0,0,1.000,Pound,NULL,US
409,59B EX 4,59B EX 4,Offsite Components,0,0,1.000,Pound,NULL,US
402,59B EX 5,59B EX 5,Offsite Components,0,0,1.000,Pound,NULL,US
400,59B IN 1,59B IN 1,Offsite Components,0,0,1.000,Pound,NULL,us
401,59B IN 2,59B IN 2,Offsite Components,0,0,1.000,Pound,NULL,US
403,59B IN 3,59B IN 3,Offsite Components,0,0,1.000,Pound,NULL,US
404,59B IN 4,59B IN 4,Offsite Components,0,0,1.000,Pound,NULL,US
405,59B IN 5,59B IN 5,Offsite Components,0,0,1.000,Pound,NULL,US
213,90030-RT4 -0030,10mm sealing bolt,Offsite Components,0,1,1.000,Pound,NULL,NULL
260,91301-P8A-A000,O-RING,Offsite Components,0,1,1.000,Pound,NULL,NULL
221,91303-5A2-A010-M1,O-RING,Offsite Components,0,1,1.000,Pound,NULL,NULL
200,91308-PH9-0000,8.8x1.9 o ring,Offsite Components,0,1,NULL,NULL,NULL,NULL
214,91318-RT4 -0030,116.7 x 2.2 O-ring,Offsite Components,0,1,1.000,Pound,NULL,NULL
230,94301-08140,8X14 DOWEL PIN,Offsite Components,0,1,1.000,Pound,NULL
202,95701-06012-08,6x12 Flange bolt,Offsite Components,0,1,NULL,NULL,NULL,NULL
333,95701-06022-080,6X22 FLANGE BOLT,Offsite Components,0,0,NULL,NULL,NULL,NULL
223,mpm300000201,heat sink raw,Offsite Components,0,1,1.000,Pound,NULL,NULL
107,12231-RPY -G000,Holder Comp No 1 In Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
108,12232-RPY -G000,Holder Comp No 2 In Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
109,12233-RPY -G000,Holder Comp No 3 In Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
110,12234-RPY -G000,Holder Comp No 4 In Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
111,12235-RPY -G000,Holder Comp No 5 In Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
112,12241-RPY -G000,Holder Comp No 1 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
113,12242-RPY -G000,Holder Comp No 2 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
114,12243-RPY -G000,Holder Comp No 3 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
115,12244-RPY -G000,Holder Comp No 4 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
116,12245-RPY -G000,Holder Comp No 5 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
117,12246-RPY -G000,Holder Comp No 6 Exh Cam,RPY Components,0,0,NULL,NULL,NULL,NULL
118,12261-RPY -G000,Holder Comp No 1 Rocker Shaft,RPY Components,0,0,NULL,NULL,NULL,NULL
119,12262-RPY -G000,Holder Comp No 2 Rocker Shaft,RPY Components,0,0,NULL,NULL,NULL,NULL
120,12263-RPY -G000,Holder Comp No 3 Rocker Shaft,RPY Components,0,0,NULL,NULL,NULL,NULL
121,12264-RPY -G000,Holder Comp No 4 Rocker Shaft,RPY Components,0,0,NULL,NULL,NULL,NULL
129,12265-5BA -A000,5BA Rocker Shaft #5,RPY Components,0,0,NULL,NULL,NULL,NULL
248,12265-6B2 -A000,6B2 Rocker Shaft #5,RPY Components,0,0,NULL,NULL,NULL,NULL
122,12265-RPY -G000,Holder Comp No 5 Rocker Shaft,RPY Components,0,0,NULL,NULL,NULL,NULL
131,12270-5BAA,Cover Comp Side,RPY Components,0,0,1.000,Pound,NULL,NULL
128,12270-RPY,Base Comp Fuel Pump,RPY Components,0,0,1.780,Pound,NULL,NULL
123,12271-RPY -G000,Holder Comp No 1 Exh Cam Lower,RPY Components,0,0,NULL,NULL,NULL,NULL
124,12272-RPY -G000,Holder Comp No 2 Exh Cam Lower,RPY Components,0,0,NULL,NULL,NULL,NULL
125,12273-RPY -G000,Holder Comp No 3 Exh Cam Lower,RPY Components,0,0,NULL,NULL,NULL,NULL
126,12274-RPY -G000,Holder Comp No 4 Exh Cam Lower,RPY Components,0,0,NULL,NULL,NULL,NULL
179,15500-RPY -G010-M4,Engine Oil Cooler,RPY Components,0,1,NULL,NULL,NULL,NULL
132,19410-RPY -G000,Passage Comp Water,RPY Components,0,1,NULL,NULL,NULL,NULL
296,38930-RPY,RPY COMPRESSOR BRACKET RAW,RPY Components,0,0,1.000,Pound,NULL,NULL
430,6620-0079-20201,Inner Housing,RPY Components,0,0,1.000,Pound,NULL,us
180,95701-06016-08,"Bolt, Flange 6x16",RPY Components,0,1,NULL,NULL,NULL,NULL
136,96211-09000,Steel Ball,RPY Components,0,1,NULL,NULL,NULL,NULL
