Id,Name,Description,MaterialClass,IsFinishedGood,IsSupplyPart,Weight,Uom,SortRecipeNumber,CountryOfOrigin
415,12270-59B -A000,59B Fuel Pump,Offsite Finished Goods,1,0,1.430,Pound,NULL,US
437,12270-5A2 -A010,5A2 Fuel Pump,Offsite Finished Goods,1,0,1.000,Pound,NULL,US
416,12270-5PA -A000,5PA Fuel Pump,Offsite Finished Goods,1,0,1.430,Pound,2,US
418,12270-66VT-A000,"Fuel Pump, 66V",Offsite Finished Goods,1,0,0.760,Pound,NULL,US
419,12270-6B2 -A000,Fuel Pump,Offsite Finished Goods,1,0,1.760,Pound,21,us
362,12270-6MA -J000,"BASE COMP, FUEL PUMP",Offsite Finished Goods,1,0,1.000,Pound,NULL,PH
379,12270-6MD -A000,Base Comp Fuel H/P Pump,Offsite Finished Goods,1,0,1.650,Pound,NULL,US
394,12270-6NA -A000,6NA Fuel Pump,Offsite Finished Goods,1,0,1.000,Pound,NULL,US
393,12270-6VJ -A000,6VJ Fuel Pump,Offsite Finished Goods,1,0,1.000,Pound,1,US
421,12270-RPY -G000,Fuel Pump,Offsite Finished Goods,1,0,1.000,Pound,NULL,us
380,14850-6MD -A000,"Oil Jet, O/P Chain",Offsite Finished Goods,1,0,0.210,Pound,NULL,US
377,17145-6MD -A000,"Plate, Int MNFLD",Offsite Finished Goods,1,0,1.000,Pound,1,US
378,18711-6MD -A000,Passage EGR Valve,Offsite Finished Goods,1,0,1.130,Pound,NULL,US
161,19311-59B -0000,"Cover, Thermo",Offsite Finished Goods,1,1,1.000,Pound,35,CH
383,19311-6MD -J000,"Cover, Thermo",Offsite Finished Goods,1,0,0.190,Pound,NULL,US
134,19315-RNA -A000,COVER COMP WATER OUTLET,Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
163,19320-59B -0000,"Case Comp, Thermo",Offsite Finished Goods,1,1,1.000,Pound,11,PH
162,19320-5AA -A000,"Case Comp, Thermo",Offsite Finished Goods,1,1,1.000,Pound,8,PH
254,19320-6A0 -A010,"CASE COMP, THERMO ",Offsite Finished Goods,1,1,1.000,Pound,15,PH
255,19320-6A0 -A510,"CASE COMP, THERMO",Offsite Finished Goods,1,1,1.000,Pound,46,PH
381,19320-6MD -A000,"Case Comp, Thermo",Offsite Finished Goods,1,0,2.150,Pound,NULL,US
234,19321-5A2 -A010,"CASE COMP, THERMO",Offsite Finished Goods,1,1,1.000,Pound,34,PH
164,19321-5BA -A000,"Case Comp, Thermo",Offsite Finished Goods,1,1,1.000,Pound,33,PH
204,19321-5BF -G000,"Case Comp, Thermo",Offsite Finished Goods,1,1,1.000,Pound,14,JP
305,19321-64S -A000,"CASE COMP, THERMO",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
334,19321-66V -A000,"CASE COMP, THERMO",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
449,19321-66V -A100,66V Thermo Case,Offsite Finished Goods,1,0,1.000,Pound,NULL,us
250,19321-6B2 A010,"CASE COMP, THERMO ",Offsite Finished Goods,1,1,1.000,Pound,51,JP
252,19321-6B2 -A520,"CASE COMP, THERMO ",Offsite Finished Goods,1,1,1.000,Pound,16,JP
105,19321-R4H -A000,"CASE COMP, THERMO",Offsite Finished Goods,1,1,1.000,Pound,13,JP
206,19321-R4H -G000,"Case Comp, Thermo",Offsite Finished Goods,1,1,1.000,Pound,53,JP
137,19321-RPY -G010,CASE COMP THERMO,Offsite Finished Goods,1,1,1.000,Pound,54,JP
328,1932A-69F -A000 ,THERMO CASE SUB ASSEMBLY,Offsite Finished Goods,1,0,1.000,Pound,NULL,PH
183,19410-59B -0100,"Passage, Water",Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
246,19410-6A0 -A000,"PASSAGE, WATER",Offsite Finished Goods,1,1,1.000,Pound,NULL,PH
382,19410-6MD -A000,"Passage Assy, Water",Offsite Finished Goods,1,0,2.680,Pound,NULL,US
139,1941A-RPY -G000,WATER PASSAGE SUB ASSY,Offsite Finished Goods,1,1,1.000,Pound,NULL,JP
215,21230-RV2 -A000,"CAP A ASSY, L SIDE",Offsite Finished Goods,1,1,1.000,Pound,3,US
209,21255-RT4 -0000,"CAP COMP, COOLER RTN",Offsite Finished Goods,1,1,1.000,Pound,5,US
188,22533-RJ2 -0000,"Piston, RVS Brake",Offsite Finished Goods,1,1,1.000,Pound,6,PH
203,22790-5MX -A000,"PIPE B ASSY, DIFF LUB",Offsite Finished Goods,1,1,1.000,Pound,NULL,JP
272,22790-5MX -A010,"PIPE B ASSY, DIFF LUB",Offsite Finished Goods,1,0,1.000,Pound,17,JP
269,22790-5YK -0000,"PIPE B ASSY, DIFF LUB",Offsite Finished Goods,1,0,1.000,Pound,52,JP
138,38930-RPY -E010,BRKT COMPRESSOR,Offsite Finished Goods,1,1,1.172,Pound,NULL,PT
194,44512-SZA -A000,"Base Support, Half Shaft BRG",Offsite Finished Goods,1,1,1.000,Pound,1,US
217,44513-TK8-A002,"HOUSING, HALF SHAFT SUPPORT",Offsite Finished Goods,1,1,1.000,Pound,2,US
140,46939-TA9 -G000,"ADAPTER, S/C",Offsite Finished Goods,1,1,1.000,Pound,NULL,NULL
268,48731-5YP -0000,"PISTON, CLUTCH ",Offsite Finished Goods,1,1,1.000,Pound,68,PH
423,6620-0078-9040a,"Cover, Inverter single",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
424,6620-0079 -0060,"Case Comp, Intermediate Single",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
425,6620-0079 -2020,Inner Housing,Offsite Finished Goods,1,0,1.000,Pound,0,US
426,6620-0080 -5010,"Cover, Inverter Dual",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
427,6620-0080 -6010,"Case Comp, Intermediate Dual",Offsite Finished Goods,1,0,1.000,Pound,NULL,US
222,MPM30-0000-201,HEAT SINK,Offsite Finished Goods,1,1,1.000,Pound,4,US
130,1223A-5BA -A000,Cam Rocker Holder Set,RPY Finished Goods,1,0,NULL,NULL,25,US
247,1223A-6B2- A000,Cam Rocker Holder Set,RPY Finished Goods,1,0,NULL,NULL,26,US
127,1223A-RPY -G000,Cam Rocker Holder Set,RPY Finished Goods,1,0,NULL,NULL,29,US
141,12270-5BA -A000,Cover Comp Side,RPY Finished Goods,1,0,1.000,Pound,31,US
420,12270-RPY  -G000,Fuel Pump,RPY Finished Goods,1,0,1.760,Pound,NULL,ub
135,12270-RPY -G001,"BASE COMP, FUEL H/P PUMP",RPY Finished Goods,1,0,1.780,Pound,22,US
297,38930-RPY -E000 (DO NOT USE),RPY COMPRESSOR BRACKET,RPY Finished Goods,1,0,1.000,Pound,NULL
172,12231-59B-0000,Intake #1,59B Components,0,0,NULL,NULL,NULL,NULL
173,12232-59B-0000,Intake #2,59B Components,0,0,NULL,NULL,NULL,NULL
176,12233-59B-0000,Intake #3,59B Components,0,0,NULL,NULL,NULL,NULL
174,12234-59B-0000,Intake #4,59B Components,0,0,NULL,NULL,NULL,NULL
175,12235-59B-0000,Intake #5,59B Components,0,0,NULL,NULL,NULL,NULL
197,1223A-59B,NULL,59B Components,0,1,NULL,NULL,NULL,NULL
167,12241-59B-0000,Exhaust #1,59B Components,0,0,NULL,NULL,NULL,NULL
168,12242-59B-0000,Exhaust #2,59B Components,0,0,NULL,NULL,NULL,NULL
169,12243-59B-0000,Exhaust #3,59B Components,0,0,NULL,NULL,NULL,NULL
170,12244-59B-0000,Exhaust #4,59B Components,0,0,NULL,NULL,NULL,NULL
171,12245-59B-0000,Exhaust #5,59B Components,0,0,NULL,NULL,NULL,NULL
142,12270-59B,Fuel Pump,59B Components,0,0,1.430,Pound,NULL,NULL
364,12270-6NA,Fuel Pump RAW ,59B Components,0,0,1.430,Pound,25
185,19311-59B,59B thermo Cover Casting,59B Components,0,1,NULL,NULL,NULL,NULL
181,19320-59B,59B Thermocase,59B Components,0,1,NULL,NULL,NULL,NULL
184,19410-59B,59B water passage casting,59B Components,0,1,NULL,NULL,NULL,NULL
189,22533-RJ2,RVS brake piston casting,59B Components,0,1,1.000,Pound,NULL,NULL
196,90701-5R0-3000,9x10 Dowel Pin,59B Components,0,1,NULL,NULL,NULL
144,92900-06014-1B,6x14 Stud Bolt,59B Components,0,1,NULL,NULL,NULL,NULL
143,94301-08100,8x10 Dowel Pin,59B Components,0,1,NULL,NULL,NULL
82,12231-5A2,Cam Shaft Holder IN #1,5A2 Components,0,0,NULL,NULL,NULL,NULL
83,12232-5A2,Cam Shaft Holder IN #2,5A2 Components,0,0,NULL,NULL,NULL,NULL
84,12233-5A2,Cam Shaft Holder IN #3,5A2 Components,0,0,NULL,NULL,NULL,NULL
85,12234-5A2,Cam Shaft Holder IN #4,5A2 Components,0,0,NULL,NULL,NULL,NULL
86,12235-5A2,Cam Shaft Holder IN #5,5A2 Components,0,0,NULL,NULL,NULL,NULL
