Line	Task	Event	EventID	EventTrigger	TriggerArg1	TriggerArg2	EventServer	EventAccessPath	EventItem	ReactOnStartup	Step	Action	Kind	ActionServer	ActionAccessPath	ActionItem	ScriptID	Active
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1050	Write Part Type	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	PartType	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	1100	Reset Transaction In Process	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	TransInProc	NULL	1
5A2 Line 2 - Fuel Pump Assembly	Fuel Pump Assembly	200 - Data Ready	10	EQ	1		TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	0	2000	Reset Data Ready	WRITE	TOP Server	5A2_L2_FuelPumpAssy.ProfaceLT_3300	DataReady	NULL	1
5G0 - Line 1	Assembly 1	003 - Container Count Request	64	EQ	1		TOP Server		5G0_A1.5G0_A1.ContainerCountRequest	0	200	Get Container Count	SCRIPT	NULL	NULL	NULL	202	1
5G0 - Line 1	Assembly 1	003 - Container Count Request	64	EQ	1		TOP Server		5G0_A1.5G0_A1.ContainerCountRequest	0	1005	Set Container Count	WRITE	TOP Server		5G0_A1.5G0_A1.ContainerCount	NULL	1
5G0 - Line 1	Assembly 1	003 - Container Count Request	64	EQ	1		TOP Server		5G0_A1.5G0_A1.ContainerCountRequest	0	1010	Reset Container Count Request	WRITE	TOP Server		5G0_A1.5G0_A1.ContainerCountRequest	NULL	1
5G0 - Line 1	Assembly 1	200 - Data Ready	65	EQ	1		TOP Server		5G0_A1.5G0_A1.DataReady	0	10	Reset Data Ready	WRITE	TOP Server		5G0_A1.5G0_A1.DataReady	NULL	1
5G0 - Line 1	Assembly 1	200 - Data Ready	65	EQ	1		TOP Server		5G0_A1.5G0_A1.DataReady	0	15	Read Container Count	READ	TOP Server		5G0_A1.5G0_A1.ContainerCount	NULL	1
5G0 - Line 1	Assembly 1	200 - Data Ready	65	EQ	1		TOP Server		5G0_A1.5G0_A1.DataReady	0	20	Set Transaction In Process	WRITE	TOP Server		5G0_A1.5G0_A1.TransInProc	NULL	1
5G0 - Line 1	Assembly 1	200 - Data Ready	65	EQ	1		TOP Server		5G0_A1.5G0_A1.DataReady	0	30	Check Container Count	SCRIPT	NULL	NULL	NULL	204	1
5G0 - Line 1	Assembly 1	200 - Data Ready	65	EQ	1		TOP Server		5G0_A1.5G0_A1.DataReady	0	40	Set Part Complete	WRITE	TOP Server		5G0_A1.5G0_A1.PartComplete	NULL	1
