ServerName	BasePath	Member	Directions	AccessPath	SampleOpcItemId
TOP Server	5K8_64A_OilPanAssy.MicroLogix1400	InspectionComplete	T	5K8_64A_OilPanAssy.MicroLogix1400	InspectionComplete
TOP Server	5K8_64A_OilPanAssy.MicroLogix1400	PartNumber	W	5K8_64A_OilPanAssy.MicroLogix1400	PartNumber
TOP Server	5K8_64A_OilPanAssy.MicroLogix1400	TrayLocked	T	5K8_64A_OilPanAssy.MicroLogix1400	TrayLocked
TOP Server	5K8_64A_OilPanAssy.MicroLogix1400	VisionPartNumber	R	5K8_64A_OilPanAssy.MicroLogix1400	VisionPartNumber
TOP Server	6B2_CH.MicroLogix1400	ContainerName	W	6B2_CH.MicroLogix1400	ContainerName
TOP Server	6B2_CH.MicroLogix1400	InspectionComplete	T	6B2_CH.MicroLogix1400	InspectionComplete
TOP Server	6B2_CH.MicroLogix1400	OkToContinue	W	6B2_CH.MicroLogix1400	OkToContinue
TOP Server	6B2_CH.MicroLogix1400	PartDisposition01	R	6B2_CH.MicroLogix1400	PartDisposition01
TOP Server	6B2_CH.MicroLogix1400	PartDisposition02	R	6B2_CH.MicroLogix1400	PartDisposition02
TOP Server	6B2_CH.MicroLogix1400	PartDisposition03	R	6B2_CH.MicroLogix1400	PartDisposition03
TOP Server	6B2_CH.MicroLogix1400	PartDisposition04	R	6B2_CH.MicroLogix1400	PartDisposition04
TOP Server	6B2_CH.MicroLogix1400	PartDisposition05	R	6B2_CH.MicroLogix1400	PartDisposition05
TOP Server	6B2_CH.MicroLogix1400	PartDisposition06	R	6B2_CH.MicroLogix1400	PartDisposition06
TOP Server	6B2_CH.MicroLogix1400	PartDisposition07	R	6B2_CH.MicroLogix1400	PartDisposition07
TOP Server	6B2_CH.MicroLogix1400	PartDisposition08	R	6B2_CH.MicroLogix1400	PartDisposition08
TOP Server	6B2_CH.MicroLogix1400	PartDisposition09	R	6B2_CH.MicroLogix1400	PartDisposition09
TOP Server	6B2_CH.MicroLogix1400	PartDisposition10	R	6B2_CH.MicroLogix1400	PartDisposition10
TOP Server	6B2_CH.MicroLogix1400	PartDisposition11	R	6B2_CH.MicroLogix1400	PartDisposition11
TOP Server	6B2_CH.MicroLogix1400	PartDisposition12	R	6B2_CH.MicroLogix1400	PartDisposition12
TOP Server	6B2_CH.MicroLogix1400	PartDisposition13	R	6B2_CH.MicroLogix1400	PartDisposition13
TOP Server	6B2_CH.MicroLogix1400	PartDisposition14	R	6B2_CH.MicroLogix1400	PartDisposition14
TOP Server	6B2_CH.MicroLogix1400	PartDisposition15	R	6B2_CH.MicroLogix1400	PartDisposition15
TOP Server	6B2_CH.MicroLogix1400	PartDisposition16	R	6B2_CH.MicroLogix1400	PartDisposition16
TOP Server	6B2_CH.MicroLogix1400	PartDisposition17	R	6B2_CH.MicroLogix1400	PartDisposition17
TOP Server	6B2_CH.MicroLogix1400	PartDisposition18	R	6B2_CH.MicroLogix1400	PartDisposition18
TOP Server	6B2_CH.MicroLogix1400	PartNumber	W	6B2_CH.MicroLogix1400	PartNumber
TOP Server	6B2_CH.MicroLogix1400	TrayLocked	T	6B2_CH.MicroLogix1400	TrayLocked
TOP Server	6C2_6MA_OilPanAssy.MicroLogix1400	InspectionComplete	T	6C2_6MA_OilPanAssy.MicroLogix1400	InspectionComplete
